SIRUTA LOCALITATE,SIRUTA LOC SUP,COD SIIIR,COD SIIIR SUP,COD SIRUES,COD FISCAL
1160,1151,0161100031,,303816,12877744
1160,1151,0161102892,,1180302,4905584
1160,1151,0162100144,0161100031,,
3413,3397,0162104415,0161102788,,
1222,1213,0161103468,,301533,32345563
1222,1213,0162101154,0161100126,,
1222,1213,0162101665,0161102268,,
1222,1213,0162101136,0161100126,,
1222,1213,0161103328,,308165,4613601
1222,1213,0162101923,0161103328,,
1222,1213,0162101145,0161100126,,
1222,1213,0161103337,,111172,9054586
1222,1213,0162101163,0161100126,,
1222,1213,0161100126,,303866,4613660
1222,1213,0152102001,0171103134,,
1222,1213,0161102268,,303880,12840966
1222,1213,0161102856,,3107263,4613580
1222,1213,0161102571,,301454,32345571
1026,1017,0162102119,0161102874,,
1026,1017,0162105592,0161100022,,
1026,1017,0161103477,,303646,12817386
1026,1017,0161102933,,3100344,4613377
1026,1017,0161102874,,1162946,18953743
1026,1017,0162102214,0161100108,,
1026,1017,0161103405,,303660,12672013
1026,1017,0162102173,0161103079,,
1026,1017,0161202628,,3070410,27123820
1026,1017,0182101856,0161102933,,
1026,1017,0121100011,,1,4562648
1026,1017,0161103278,,958099,4681800
1026,1017,0161102241,,12150005,12150005
1026,1017,0161102422,,1163043,12795083
1026,1017,0161102562,,301296,18953743
1026,1017,0161100022,,1180223,4562630
1026,1017,0161202809,,3129821,25281076
1026,1017,0161102589,,308139,4613393
1026,1017,0162102191,0161103079,,
1026,1017,0162105642,0161100108,,
1026,1017,0141103345,,8888,21483277
1026,1017,0162105651,0161102874,,
1026,1017,0161102476,,100185,9431570
1026,1017,0161103373,,1313519,4613385
1026,1017,0161102675,,303672,12633715
1026,1017,0162102155,0161102508,,
1026,1017,0161102372,,1062421,4562788
1026,1017,0161102318,,503129,4855087
1026,1017,0161202397,,3049459,7053860
1026,1017,0161102716,,3040398,5504718
1026,1017,0161102508,,301260,18953743
1026,1017,0161102526,,1230432,18953743
1026,1017,0131100079,,11103003,4681797
1026,1017,0171103134,,311899,12817394
1026,1017,0161100108,,1230444,18953743
1026,1017,0162102146,0161102508,,
1026,1017,0161103495,,308270,4562710
1026,1017,0162102164,0161102508,,
1026,1017,0161103079,,301272,18953743
1026,1017,0161102838,,1149322,18953743
1026,1017,0161202447,,832931,30566320
1026,1017,0161102847,,100324,7745852
2149,2130,0161103206,,304470,12848730
2149,2130,0162103997,0161103206,,
2327,2309,0162100212,0161102829,,
2318,2309,0162100239,0161102829,,
2318,2309,0161102829,,304561,12817424
2318,2309,0162100203,0161102829,,
5595,5577,0162103613,0161102381,,
5595,5577,0162103622,0161102381,,
2390,2381,0161103215,,304664,12848714
2390,2381,0162102078,0161103215,,
2390,2381,0162102096,0161103215,,
8032,8014,0162105009,0161102648,,
2586,2577,0161102603,,304731,12857569
2586,2577,0162104953,0161102603,,
2924,2915,0161100085,,1223776,4934636
2924,2915,0162101285,0161100085,,
7838,7810,0162105054,0161100058,,
7838,7810,0162105036,0161100058,,
7847,7810,0162105583,0161100058,,
7847,7810,0162105027,0161100058,,
5256,5210,0162101032,0161103147,,
5256,5210,0162101041,0161103147,,
5121,5103,0162104772,0161102232,,
5121,5103,0162104745,0161102232,,
3066,3039,0162104487,0161103111,,
3066,3039,0162104451,0161103111,,
1035,1017,0162101995,0161100022,,12929070
1035,1017,0162102205,0161100108,,
8041,8014,0162105018,0161102648,,
4384,4366,0162104184,0161100067,,
4384,4366,0162104148,0161100067,,
2997,2988,0162103744,0161102752,,
2997,2988,0161102752,,304834,12864493
5247,5210,0162100994,0161103147,,
5247,5210,0162101023,0161103147,,
7892,7865,0162105529,0161103319,,
7892,7865,0162105497,0161103319,,
3048,3039,0162104433,0161103111,,
3048,3039,0161103111,,304901,12878952
1357,1348,0161103296,,301600,24434996
1357,1348,0161103486,,303983,12864540
1357,1348,0161102865,,304004,12864531
1357,1348,0181102988,,500139,4613695
1357,1348,0161203398,,3148059,14207490
1357,1348,0161102535,,303971,12864523
1357,1348,0161102327,,308191,4563155
1357,1348,0161102458,,792031,4613776
1357,1348,0161102309,,3102134,32587249
1357,1348,0161102761,,844559,4563090
1357,1348,0162101986,0161102327,,
1357,1348,0152102019,0171103134,,
1357,1348,0162101882,0161103486,,
3404,3397,0161102788,,304872,12864698
8452,8425,0162101398,0161103432,,
4286,4268,0162105235,0161102517,,
4286,4268,0162105253,0161102517,,
2416,2381,0162102087,0161103215,,
4204,9026,0162100741,0161102906,,
4204,9026,0161102906,,305357,19006373
4945,4927,0162104849,0161102693,,
4945,4927,0162104804,0161102693,,
3468,3459,0161102354,,305022,12864590
3495,3459,0162105167,0161102354,,
3495,3459,0162105158,0161102354,,
4053,4008,0162105131,0161102404,,
4053,4008,0162105149,0161102404,,
7115,7099,0162100515,0161102657,,
7115,7099,0162100456,0161102657,,
5130,5103,0162104736,0161102232,,
8121,8096,0162101204,0161102544,,
8121,8096,0162101222,0161102544,,
4507,4482,0162105289,0161102259,,
4507,4482,0162105271,0161102259,,
6814,6761,0162105104,0161102598,,
6814,6761,0162105072,0161102598,,
4115,4106,0162100655,0161103025,,
4115,4106,0161103025,,305278,12839724
1464,1455,0161103043,,1230470,29169041
1464,1455,0161102639,,1163055,12877736
1464,1455,0162102101,0161103043,,
1464,1455,0161100094,,308189,4331090
1464,1455,0152105551,0171103134,,
1464,1455,0161103016,,792639,4331082
1464,1455,0182101942,0161100094,,
3770,3761,0162100768,0161102942,302173,
3770,3761,0161102942,,305084,12899076
3501,3459,0162105176,0161102354,,
3814,3805,0162103572,0161102467,,
3814,3805,0161102467,,305096,12857526
3823,3805,0162103554,0161102467,,
1507,1455,0162101706,0161102639,,
1507,1455,0162101724,0161102639,,
3850,3841,0161103301,,305125,305125
3850,3841,0162100153,0161103301,,
3967,3958,0162105479,0161103459,,
3967,3958,0161103459,,305163,12864515
4393,4366,0162104193,0161100067,,
4393,4366,0162104157,0161100067,,
2354,2309,0162100248,0161102829,,
2354,2309,0162100257,0161102829,,
2176,2130,0162104017,0161103206,,
2176,2130,0162104035,0161103206,,
5728,5700,0162104885,0161103034,,
5728,5700,0162104908,0161103034,,
1838,1794,0162101109,0161103509,,
1838,1794,0162104573,0161103509,,
1080,1071,0162103812,0161103052,,
1080,1071,0161103052,,303751,12857518
8176,8158,0162105407,0161102336,,
8176,8158,0162105416,0161102336,,
5274,5210,0162101005,0161103147,,
5274,5210,0162100985,0161103147,,
3100,3039,0162104469,0161103111,,
3100,3039,0162104442,0161103111,,
1277,1213,0161103364,,844547,4613610
1277,1213,0162101086,0161103364,,
1277,1213,0182101078,0161103364,,
4017,4008,0161102404,,305216,12857577
4017,4008,0162105122,0161102404,,
6618,6592,0162100872,0161102494,,
6618,6592,0162100881,0161102494,,
2185,2130,0162104044,0161103206,,
6299,6271,0162103961,0161102996,,
6299,6271,0162103952,0161102996,,
7400,7384,0162104641,0161102295,3040116,
4160,4142,0162104302,0161102915,,
4197,4188,0161103414,,305345,12905739
4197,4188,0162100759,0161103414,,
4151,4142,0162104329,0161102915,,
4151,4142,0161102915,,305307,12905747
1703,1696,0161102363,,1163067,12828202
1703,1696,0161104519,,3085245,12828210
1703,1696,0162100352,0161103287,,
1703,1696,0162100334,0161103287,,
1703,1696,0162100198,0161103287,,
1703,1696,0161103355,,1180235,4765880
1703,1696,0162100171,0161102363,,
1703,1696,0162104614,0161104519,,
1703,1696,0152105578,0171103134,,
1703,1696,0162104623,0161104519,,
1703,1696,0161102951,,308206,4613849
1703,1696,0161103287,,304157,12828180
1703,1696,0162105606,0161103355,,
7981,7945,0162100397,0161101068,,
7981,7945,0162100379,0161101068,,
4124,9019,0162100646,0161100117,,
4124,9019,0161100117,,305280,16675730
4259,4240,0161103129,,305371,12840958
4259,4240,0162101095,0161103129,,
4133,4106,0162100664,0161103025,,
4133,4106,0162100673,0161103025,,
1543,1455,0162101769,0161102639,,
8265,8229,0162103857,0161103233,,
8498,8425,0162101362,0161103432,,
2194,2130,0162104089,0161103206,,
5782,5755,0162100949,0161102743,,
5782,5755,0162100922,0161102743,,
4277,4268,0162105244,0161102517,,
4277,4268,0161102517,,305383,12917180
7990,7945,0162100438,0161101068,,
7990,7945,0162100388,0161101068,,
1099,1071,0162103789,0161103052,,
8194,8158,0162105384,0161102336,,
8194,8158,0162105375,0161102336,,
2210,2130,0162104053,0161103206,,
7231,7197,0162103916,0161103007,,
6315,6271,0162103988,0161102996,,
6324,6271,0162103934,0161102996,,
4311,4302,0161102924,,305400,12864604
4311,4302,0162100827,0161102924,,
5149,5103,0162104763,0161102232,,
5149,5103,0162104727,0161102232,,
2005,1936,0162101968,0161102797,,
2005,1936,0162101552,0161102797,,
4810,4767,0162101507,0161102883,,
2014,1936,0162101602,0161102797,,
4375,4366,0161100067,,305450,12828245
4375,4366,0162104216,0161100067,,
4400,4366,0162104225,0161100067,,
4400,4366,0162104166,0161100067,,
7428,7384,0162104686,0161102295,303206,
4491,4482,0161102259,,305539,12917164
4491,4482,0162105262,0161102259,,
1286,1213,0162101172,0161100126,,
1286,1213,0162101199,0161100126,,
4534,4525,0161103224,,305565,12848722
4534,4525,0162104121,0161103224,,
3164,3039,0162104496,0161103111,,
3164,3039,0162104478,0161103111,,
7794,7767,0162105321,0161103097,,
7794,7767,0162105348,0161103097,,
6422,6397,0162100913,0161102485,,
7801,7767,0162105357,0161103097,,
4589,4525,0162104139,0161103224,,
3002,2988,0162103762,0161102752,,
3002,2988,0162103753,0161102752,,
4829,4767,0162101466,0161102883,,
2363,2309,0162100266,0161102829,,
2363,2309,0162100221,0161102829,,
5327,5309,0162100786,0161102345,,
5327,5309,0162100777,0161102345,,
6878,6761,0162105099,0161102598,,
6878,6761,0162105113,0161102598,,
5407,5336,0162104297,0161102779,,
5407,5336,0162104252,0161102779,,
1115,1071,0162103821,0161103052,,
1115,1071,0162103798,0161103052,,
4320,4302,0162100854,0161102924,,
4712,4703,0162100976,0161102413,,
4712,4703,0161102413,,305644,12841015
4776,4767,0161102883,,305694,12857585
4776,4767,0162101457,0161102883,,
7366,7348,0162100723,0161103088,,
7366,7348,0162100691,0161103088,,
4954,4927,0162104822,0161102693,,
4954,4927,0162104867,0161102693,,
4936,4927,0161102693,,305773,12828270
4936,4927,0162104813,0161102693,,
4990,4981,0162105312,0161103242,,
4990,4981,0161103242,,305826,12828253
5112,5103,0161102232,,308256,10478976
5112,5103,0162104781,0161102232,,
1892,1874,0162102051,0161102725,,
1892,1874,0162104605,0161102725,,
7133,7099,0162100465,0161102657,,
7133,7099,0162100569,0161102657,,
7259,7197,0162103893,0161103007,,
7259,7197,0162103907,0161103007,,
6565,6547,0162103599,0161103102,,
6565,6547,0162103604,0161103102,,
5176,5167,0162101059,0161102666,,
5176,5167,0161102666,,305943,12848641
7142,7099,0162100474,0161102657,,
7142,7099,0162100492,0161102657,,
5229,5210,0162101014,0161103147,,
5229,5210,0161103147,,305981,12841023
7598,7446,0162101439,0161102978,,
5434,5336,0162104374,0161102734,,
8407,8354,0162104392,0161102734,,
5318,5309,0162100795,0161102345,,
5318,5309,0161102345,,306052,12864582
5345,5336,0162104243,0161102779,,
5345,5336,0161102779,,306076,12839708
1259,1213,0162101181,0161100126,,
1428,1348,0162101905,0161103269,,
1428,1348,0162101891,0161103269,,
7062,7044,0162103717,0161103441,,
8078,8014,0162104998,0161102648,,
8078,8014,0162104971,0161102648,,
4847,4767,0162101534,0161102883,,
4847,4767,0162101525,0161102883,,
4339,4302,0162100845,0161102924,,
4339,4302,0162100809,0161102924,,
5586,5577,0162103676,0161102381,,
5586,5577,0161102381,,306167,12864574
1044,1017,0162101873,0161102933,,12929061
1044,1017,0162101864,0161102933,,
5719,5700,0162104917,0161103034,,
5719,5700,0161103034,,306246,12840990
1598,1455,0162101742,0161102639,,
1598,1455,0162101715,0161102639,,
5764,5755,0162100931,0161102743,,
5764,5755,0161102743,,3102110,12848633
5835,5826,0161103192,,306349,12857593
5835,5826,0162100135,0161103192,,
1767,1696,0162100361,0161103287,,
5461,5336,0162104234,0161102779,,
5461,5336,0162104261,0161102779,,
7286,7197,0162103925,0161103007,,
6057,6048,0161102707,,306428,12864647
6057,6048,0162105452,0161102707,,
1053,1017,0162102137,0161102562,,
1053,1017,0162101231,0161103405,,
1053,1017,0162102128,0161102562,,
5737,5700,0162104926,0161103034,,
5737,5700,0162104894,0161103034,,
1801,1794,0161102811,,2151310,4700309
1801,1794,0161100049,,1149188,6136290
1801,1794,0162104537,0161102811,301765,
1801,1794,0161103509,,304236,12864639
1801,1794,0162104501,0161102811,301777,
1801,1794,0152105569,0171103134,,
1801,1794,0162104546,0161102811,,
1801,1794,0162104528,0161102811,301844,
1801,1794,0162104555,0161102811,301806,
4641,4525,0162104103,0161103224,,
4641,4525,0162104112,0161103224,,
6128,6119,0161102277,,306480,12817440
6128,6119,0162101276,0161102277,,
6173,6164,0161103061,,306521,12839660
6173,6164,0162100637,0161103061,,
4446,4366,0162104175,0161100067,,
4446,4366,0162104207,0161100067,,
7375,7348,0162100714,0161103088,,
7375,7348,0162100705,0161103088,,
6360,6271,0162103979,0161102996,,
4865,4767,0162101475,0161102883,,
4865,4767,0162101493,0161102883,,
1062,1017,0162102182,0161103079,,
1062,1017,0162102069,0161102372,,
7669,7446,0162101448,0161102978,,
1909,1874,0162105226,0161103156,,
1909,1874,0162105217,0161103156,,
1909,1874,0161103156,,304327,12839759
1393,1348,0162100682,0161102535,,
6235,6217,0162100587,0161102553,,
6235,6217,0162100628,0161102553,,
6226,6217,0162100596,0161102553,,
6226,6217,0161102553,,1102996,12864566
2041,1936,0162101638,0161102797,,
2041,1936,0162101959,0161102797,,
7151,7099,0162100447,0161102657,,
7678,7446,0162101412,0161102978,,
6280,6271,0162103943,0161102996,,
6280,6271,0161102996,,306600,12877728
3663,3459,0162105194,0161102354,,
3663,3459,0162105185,0161102354,,
6404,6397,0162100904,0161102485,,
6404,6397,0161102485,,306662,12840974
8728,8425,0162101389,0161103432,,
8728,8425,0162101371,0161103432,,
6477,6468,0161102286,,306727,12839694
6477,6468,0162101267,0161102286,,
4883,4767,0162101516,0161102883,,
5666,5577,0162103649,0161102381,,
5666,5577,0162103658,0161102381,,
6253,6217,0162100619,0161102553,,
6253,6217,0162100578,0161102553,,
7160,7099,0162100506,0161102657,,
7160,7099,0162100551,0161102657,,
6556,6547,0162103581,0161103102,,
6556,6547,0161103102,,306777,12848676
1918,1874,0162101828,0161103423,,
1918,1874,0162101837,0161103423,,
1856,1794,0162104591,0161103509,,
1856,1794,0162101118,0161103509,,
6609,6592,0161102494,,306818,12917172
6609,6592,0162100899,0161102494,,
6636,6627,0161102969,,306832,12840982
4516,4482,0162105303,0161102259,,
4516,4482,0162105298,0161102259,,
2256,2130,0162104071,0161103206,,
6949,6930,0161102684,,307006,12857536
6949,6930,0162103536,0161102684,,
6770,6761,0162105081,0161102598,,
6770,6761,0162105063,0161102598,,
6770,6761,0161102598,,306947,12864507
7302,7197,0162103884,0161103007,,
6538,6468,0162101249,0161102286,,
2960,2915,0162101308,0161100085,,
6985,6976,0161102612,,307032,12839732
6985,6976,0162104365,0161102612,,
6985,6976,0162104356,0161102612,,
7053,7044,0161103441,,307082,12839686
7053,7044,0162103694,0161103441,,
7071,7044,0162103735,0161103441,,
7071,7044,0162103685,0161103441,,
7106,7099,0162100542,0161102657,,
7106,7099,0161102657,,307123,12877779
4348,4302,0162100863,0161102924,,
4348,4302,0162100836,0161102924,,
7357,7348,0162100732,0161103088,,
7357,7348,0161103088,,307317,12877752
7927,7865,0162105538,0161103319,,
7927,7865,0162105511,0161103319,,
7393,7384,0161102295,,307343,12864612
7393,7384,0162104668,0161102295,303232,
7393,7384,0162104659,0161102295,,
7393,7384,0162104677,0161102295,303191,
7204,7197,0162103866,0161103007,,
7204,7197,0161103007,,307238,12848706
1883,1874,0162102033,0161102725,,
1883,1874,0162102042,0161102725,,
1883,1874,0162101674,0161103165,,
1883,1874,0161103251,,308220,4331260
1883,1874,0161102725,,320096,12864680
1883,1874,0161103165,,100654,7796350
1883,1874,0162101801,0161103174,,
1883,1874,0162101683,0161103165,,
1883,1874,0162101819,0161103174,,
1883,1874,0161103423,,304303,12839740
1883,1874,0161205622,,,32082793
1883,1874,0162105615,0161103165,,
1883,1874,0161105633,,,34182950
1883,1874,0161103174,,3100356,4331228
1883,1874,0162101692,0161103165,,
1883,1874,0152102028,0171103134,,
1883,1874,0162101846,0161103423,,
7179,7099,0162100524,0161102657,,
7179,7099,0162100483,0161102657,,
7311,7197,0162103875,0161103007,,
4721,4703,0162100967,0161102413,,
4721,4703,0162100958,0161102413,,
7455,7446,0162101421,0161102978,,
7455,7446,0161102978,,307408,12878960
6093,6048,0162105434,0161102707,,
6093,6048,0162105443,0161102707,,
7776,7767,0162105339,0161103097,,
7776,7767,0161103097,,307460,12828261
6262,6217,0162100601,0161102553,,
4963,4927,0162104858,0161102693,,
4963,4927,0162104799,0161102693,,
1124,1071,0162103803,0161103052,,
1124,1071,0162103771,0161103052,,
7829,7810,0162105045,0161100058,,
7829,7810,0161100058,,307513,12828229
7874,7865,0162105502,0161103319,,
7874,7865,0161103319,,307551,12899092
7954,7945,0161101068,,307616,12841031
7954,7945,0162100429,0161101068,,
8023,8014,0161102648,,307654,12899106
8023,8014,0162104989,0161102648,,
7080,7044,0162103708,0161103441,,
7080,7044,0162103726,0161103441,,
3994,3958,0162105488,0161103459,,
3994,3958,0162105461,0161103459,,
6958,6930,0162103527,0161102684,,
6958,6930,0162103518,0161102684,,
5684,5577,0162103667,0161102381,,
5684,5577,0162103631,0161102381,,
2853,2577,0162104935,0161102603,,
2853,2577,0162104962,0161102603,,
8103,8096,0162105687,0161102544,,
8103,8096,0161102544,,308268,4650200
4179,4142,0162104311,0161102915,,
1400,1348,0162101914,0161103269,,
1400,1348,0161103269,,303995,12857542
8327,8229,0162103839,0161103233,,
7188,7099,0162100533,0161102657,,
7437,7384,0162104632,0161102295,307381,
7437,7384,0162104695,0161102295,3116630,
2103,1936,0162101977,0161102797,,
2103,1936,0162101647,0161102797,,
4909,4767,0162101543,0161102883,,
4909,4767,0162101484,0161102883,,
4972,4927,0162104831,0161102693,,
4972,4927,0162104876,0161102693,,
1810,1794,0162101932,0161102811,,
1810,1794,0162104564,0161102811,301820,
1829,1794,0162104582,0161103509,,
1829,1794,0162101127,0161103509,,
6967,6930,0162103545,0161102684,,
6967,6930,0162105547,0161102684,,
8167,8158,0162105366,0161102336,,
8167,8158,0162105425,0161102336,,
8167,8158,0161102336,,307800,12884148
8167,8158,0162105393,0161102336,,
8238,8229,0162103848,0161103233,,
8238,8229,0161103233,,307874,12857500
1650,1455,0162101733,0161102639,,
1650,1455,0162101751,0161102639,,
8363,8354,0162104383,0161102734,,
8363,8354,0161102734,,307903,12877760
5531,5336,0162104279,0161102779,,
5531,5336,0162104288,0161102779,,
2112,1936,0162101597,0161102797,,
2112,1936,0162101629,0161102797,,
8773,8425,0162101344,0161103432,,
8997,8826,0162100284,0161103382,994134,
8997,8826,0162100307,0161103382,,
1678,1455,0162101778,0161102639,,
1678,1455,0162101787,0161102639,,
8817,8425,0162101353,0161103432,,
8817,8425,0162101403,0161103432,,
5158,5103,0162104718,0161102232,,
5158,5103,0162104754,0161102232,,
8434,8425,0162101335,0161103432,307966,
8434,8425,0161103432,,3129807,12877710
1776,1696,0162100189,0161102363,,
1776,1696,0162100162,0161102363,,12828237
8005,7945,0162100402,0161101068,,
8005,7945,0162100411,0161101068,,
8835,8826,0161103382,,308050,12839678
8835,8826,0162100293,0161103382,303608,
9002,8826,0162100316,0161103382,,
9002,8826,0162100325,0161103382,303622,
1945,1936,0162101561,0161102797,,
1945,1936,0162101588,0161102797,,
1945,1936,0161102797,,1180259,4331007
1945,1936,0162101579,0161102797,,
13917,13891,0362105327,0361103673,,
13917,13891,0361103673,,331777,29478616
13828,13819,0361104846,,300556,29497430
13837,13819,0362101273,0361104846,,
13837,13819,0362105345,0361104846,,
13944,13935,0361103741,,331817,29348896
14192,14165,0362101151,0361104181,,
14003,13999,0362101305,0361104249,,
14003,13999,0361104249,,331843,4318270
14067,14049,0361104353,,300373,4583950
14067,14049,0362101291,0361104353,,
17593,17575,0362102826,0361105119,,
17593,17575,0362106165,0361105119,,
13196,13187,0361104163,,331140,29446290
13196,13187,0362100783,0361104163,,
14094,14085,0361104561,,331894,29464220
18876,18858,0362102794,0361100168,,
17879,17851,0362105381,0361104706,,
17879,17851,0362102681,0361104706,,
14174,14165,0361104181,,331946,29497103
14290,14272,0362105309,0361103655,,
14281,14272,0361103655,,300491,29373326
18607,18581,0361103818,,335175,5050565
15466,15448,0362100503,0361104475,,
15670,15652,0362105915,0361100254,,
17511,17496,0362102853,0361103587,,
14469,14450,0361103619,,332144,29491054
17744,17726,0362105413,0361104543,,
19294,19249,0362102161,0361104484,,
19294,19249,0362106224,0361104484,,
16677,20055,0362101911,0361103483,,
14370,14352,0362105286,0361103795,,
14414,14405,0362101074,0361103664,,
14414,14405,0361103664,,966164,29428251
13542,13524,0362102039,0361104439,,
14593,14584,0362105268,0361104796,,
14593,14584,0361104796,,332247,4971987
17129,17101,0362103058,0361103958,,
14682,14673,0362105675,0361104968,,
14682,14673,0361104968,,332298,4318431
14735,14726,0361104145,,332338,5103430
13285,13276,0361103533,,336181,5172600
13285,13276,0362100806,0361103533,,
15581,15554,0361103949,,332977,4122094
13846,13819,0362106034,0361104846,,
14860,14851,0361100037,,332418,4469566
14879,14851,0362100919,0361100037,,
16800,16757,0362106129,0361104751,,
14931,14922,0361103465,,332432,4122493
14931,14922,0362100887,0361103465,,
14931,14922,0362105612,0361103465,,
13908,20063,0361103411,,331765,29423971
13908,20063,0362100878,0361103411,,
13908,20063,0362100869,0361103411,,
13908,20063,0362105603,0361103411,,
14619,14584,0362100955,0361104796,,
17067,17049,0362103085,0361104656,,
15082,15064,0362101201,0361104222,,
14977,14940,0362100824,0361105033,,
14977,14940,0362105589,0361105033,,
14888,14851,0362100901,0361100037,,
16588,16551,0362103144,0361104873,,
15251,15233,0362100593,0361103913,,
15073,15064,0361104222,,332550,29387089
15126,15108,0362100679,0361104059,,
15126,15108,0362100661,0361104059,,
15126,15108,0362100634,0361104059,,
15126,15108,0362100625,0361104059,,
15331,15313,0362100557,0361104882,,
15242,15233,0362100575,0361103913,,
15242,15233,0362100566,0361103913,,
18046,18028,0362102618,0361103881,,
13506,13490,0362105449,0361100082,,
13506,13490,0362101653,0361100082,,
13506,13490,0352103935,0371100182,330955,
13506,13490,0362105458,0361100082,,
13506,13490,0361104742,,300582,5010064
13506,13490,0361103994,,326462,29459797
13506,13490,0362105467,0361100082,,
13506,13490,0362101608,0361104801,,
13506,13490,0361103854,,999799,4793146
13506,13490,0361104647,,1180383,5010030
13506,13490,0362101662,0361100082,,
13506,13490,0361103402,,1160291,5010056
13506,13490,0362101635,0361103994,,
13506,13490,0362101395,0361104742,,
13506,13490,0361103682,,300659,4793138
13506,13490,0361104412,,849769,4971910
13506,13490,0362101409,0361105101,,
13506,13490,0361104986,,300673,5010064
13506,13490,0362101617,0361104801,,
13506,13490,0361104308,,331426,5010064
13506,13490,0361103836,,sem.teo,5010064
13506,13490,0362101626,0361104801,,
13506,13490,0361104199,,326057,5010013
13506,13490,0361104801,,316480,29413196
13506,13490,0361204238,,3130181,8517844
13506,13490,0361100245,,1180424,5010056
13506,13490,0361105101,,331402,5010064
13506,13490,0361100082,,331414,4793146
13926,13891,0362101255,0361103673,,
16178,16132,0362100313,0361104032,,
15144,15108,0362100616,0361104059,,
17842,17824,0362105399,0361104095,,
15322,15313,0361104882,,332795,4122043
15340,15313,0362100548,0361104882,,
13953,13935,0362101246,0361103741,,
19034,19007,0362102265,0361103922,,
15411,15402,0361104362,,332862,29382260
15457,15448,0361104475,,332886,4121960
15457,15448,0362100489,0361104475,,
16631,16613,0362103203,0361103447,,
17520,17496,0362102835,0361103587,,
15509,15493,0361104317,,332926,4121943
15509,15493,0362100471,0361104317,,
15590,15554,0362106102,0361103949,,
15260,15233,0362100607,0361103913,,
17370,17334,0362102921,0361104154,334259,
15689,15652,0361100254,,300346,4318369
19588,19560,0362102107,0361103827,,
16301,16285,0362100281,0361104959,,
15750,15741,0362105892,0361103845,,
15750,15741,0361103845,,300361,4543948
15849,15830,0361103334,,333176,22495335
15858,15830,0362100417,0361103334,,
15858,15830,0362106278,0361103334,,
14986,14940,0362100851,0361105033,,
13677,13668,0362105431,0361104466,,
13677,13668,0361103637,,300594,4971928
13677,13668,0362101567,0361104778,,
13677,13668,0362105363,0361104778,,
13677,13668,0361104778,,301511,4469388
13677,13668,0362101594,0361104778,,
13677,13668,0361105128,,301338,4229717
13677,13668,0362101585,0361104778,,
13677,13668,0361103809,,0336088,4469388
13677,13668,0352104615,0371100182,330981,
13677,13668,0362101576,0361104778,,
13677,13668,0361104466,,1138536,29437365
17646,17619,0362105553,0361103628,,
15910,15901,0362100349,0361104041,,
15910,15901,0362100331,0361104041,,
18885,18858,0362102324,0361100168,,
16597,16551,0361104873,,333658,29356856 
15992,15983,0361103474,,333279,4318377
16846,16757,0362105847,0361104751,,
15698,15652,0362100444,0361100254,,
16141,16132,0361104032,,333360,4122108
13631,13622,0361104864,,326514,5172589
13631,13622,0361103506,,831834,5050549
13631,13622,0361105024,,1066502,5172589
13631,13622,0362101698,0361104864,,
13631,13622,0361104014,,115223,5010080
13631,13622,0362101341,0361104014,,
13631,13622,0362101377,0361100028,,
13631,13622,0352104936,0371100182,330967,
13631,13622,0361206421,,502773,9644404
13631,13622,0361104787,,1180436,5010110
13631,13622,0362101359,0361104014,,
13631,13622,0361100218,,32085626,30838816
13631,13622,0362101368,0361100028,,
13631,13622,0361206412,,32719174,32033014
13631,13622,0362101689,0361105024,,
13631,13622,0361103777,,331529,5172589
13631,13622,0362101386,0361100028,,
13631,13622,0361103646,,3025788,6495430
13631,13622,0362106061,0361100028,336076,
13631,13622,0361103325,,792169,5172589
13631,13622,0362101671,0361105024,,
13631,13622,0361100123,,1160289,5172589
13631,13622,0361100227,,331543,5010072
13631,13622,0361100028,,336076,5010072
13631,13622,0361100073,,331517,5010072
13631,13622,0362101332,0361104014,,
16294,16285,0362100738,0361104959,,
16294,16285,0361104959,,327609,4122531
16374,16365,0361104597,,333490,5010129
18448,18411,0362106192,0361104136,,
17539,17496,0361206475,,,24024783
17441,17423,0362102871,0361100132,,
18082,18028,0362102645,0361103881,,
16436,16427,0362105214,0361104294,,
16436,16427,0361104294,,333542,4469477
16436,16427,0362103257,0361104294,,
17165,17101,0362103067,0361103958,,
13864,13819,0362101282,0361104846,,
13864,13819,0362105336,0361104846,,
16463,16454,0361103976,,300165,4543964
16481,16472,0362103239,0361104914,,
16481,16472,0361104914,,333557,4122442
16515,16506,0361104285,,333581,4543956
17272,17254,0362102984,0361104674,,
13873,13819,0362101264,0361104846,,
18974,18938,0362102292,0361103551,,
18368,18331,0362106174,0361100272,,
16445,16427,0362103248,0361104294,,
17281,17254,0362102948,0361104674,,
14806,14753,0361104891,,332365,4318326
14897,14851,0362105621,0361100037,,
14432,14405,0362101065,0361103664,,
17888,17851,0362102699,0361104706,,
18108,18028,0362102654,0361103881,,
13294,13276,0362100792,0361103533,,
19132,19114,0362102247,0361104086,,
16855,16757,0362105829,0361104751,,
14655,14584,0362100973,0361104796,,
18493,18475,0362102473,0361103967,,
18509,18475,0362102464,0361103967,,
15153,15108,0362106486,0361104059,,
16560,16551,0362105865,0361104873,,
14307,14272,0362101106,0361103655, ,
17986,17968,0362102663,0361104389,,
14138,14085,0362101178,0361104561,,
15288,15233,0361103913,,332771,4971995
13579,13524,0362102021,0361104439,,
16622,16613,0361103447,,333660,4122388
