latitude,longitude,id,name,old_name,addr:housenumber,addr:street,siruta
47.9256787,26.6560898,386612278,,,,,36729
47.8822879,26.6466076,386615604,SCOALA DOROBANTI,,,,38483
44.1089094,24.3541321,387262437,SCOALA GENERALA NR 7 CARACAL,,,,125481
47.8906282,26.7905293,388311145,SCOALA DE ARTE UNGURENI,,,,39499
48.190753,26.5103395,389980629,SCOALA DUMENI,,,,0
46.1766619,21.3193048,390341459,PALATUL COPIILOR,,,,9271
46.1779314,21.3109875,391814406,GRUP SCOLAR TRANSPORTURI AUTO HENRI COANDA,,,,9271
46.1466693,24.65053,394139131,SCOALA GENERALA,,,,0
45.7712315,27.6862119,411001109,,,,,76166
46.6348593,25.6351472,412264183,,,,,0
45.7959683,24.1553111,415560537,CENTRUL SCOLAR PENTRU EDUCATIE INCLUZIVA,,18,Strada Filarmonicii,143469
46.1528249,24.7225466,416989603,SCOALA GENERALA,,,,116536
44.2008617,27.3183373,417771537,LICEUL AGRICOL SANDU ALDEA,,,,92578
45.9797469,25.3573635,427674327,SCOALA GENERALA,,,,41195
46.2136154,26.4453528,428041191,SCOALA CU CLASELE I VIII NR 1,,,,20929
44.1165227,24.3746495,430267621,COLEGIUL AGRICOL DIMITRIE PETRESCU,,,,125481
44.4186504,26.162199,436233861,SFANTUL ANDREI,,,,179169
47.1541891,27.5712652,442871002,SCOALA NR 34 ION SIMIONESCU,,,,95079
44.554096,28.5946245,444319986,,,,,0
44.4842108,26.553224,444361321,SCOALA NR 178,,,,0
44.4648529,26.704097,444362715,LICEUL NICOLAE IORGA,,,,0
45.278774,23.2785808,448885386,COLEGIUL NATIONAL SPIRU HARET,Liceul Pedagogic,106,Strada 1 Decembrie 1918,0
44.4156916,26.1325447,450519601,SCOALA GENERALA NR 84,,,,179169
44.4209323,26.1359807,450520679,SCOALA NR 80,,,,179169
44.4554742,26.835205,453483958,SCOALA GENERALA NR 11 ION HELIADE RADULESCU,,,,0
47.1546179,27.6646075,457460290,,,,,95186
44.4089586,26.693249,457853794,LICEUL DIMITRIE BOLINTINEANU,,,,0
44.4813086,26.986356,458227057,SCOALA GENERALA NR 12,,27,Strada Borsa,0
47.14545,27.5779173,461611335,SCOALA VASILE CONTA ,,2,,95079
47.1688239,27.5937811,469791806,GRUP SCOLAR DE ARTE SI MESERII SPIRU HARET,,12 14,,95079
47.6608976,23.6988415,469928963,GRUPUL SCOLAR INDUSTRIAL DE TRANSPORTURI AUTO BAIA SPRIE,,,,106693
47.6623184,23.700206,469936787,SCOALA GENERALA NR 1,,,,106693
47.6630237,23.6871168,469936794,SCOALA GENERALA NR 2,,,,106693
45.9670845,21.4792248,472356539,SCOALA GENERALA I VIII,,,,157727
46.3406977,21.3077854,472379247,GRUPUL SCOLAR ION CREANGA CLADIREA 1,,,Strada Revolutiei,9501
46.3402855,21.308525,472411670,GRUPUL SCOLAR ION CREANGA CLADIREA 2,,,Strada Revolutiei,9501
46.3852907,21.3123688,474771300,SCOALA MACEA,,,,11405
44.1977161,27.3317722,474982133,COLEGIUL NATIONAL BARBU STIRBEI,,,,92578
44.919522,26.354546,475528153,SCOALA GENERALA MIHAI EMINESCU,,,Strada Barcanesti,0
44.9367232,26.25201,475847078,,,,,0
44.9407528,25.9924346,475876963,LICEUL ENERGETIC,,,,130543
45.8614625,25.7758602,477357858,SCOALA GENERALA VARADI JOZSEF,,,,63401
47.3477792,25.3566936,479886940,LICEUL TEORETIC ION LUCA,,24,Strada Mihai Eminescu,146753
47.3422084,25.3622127,479896872,SCOALA GENERALA,,58,Strada Unirii,146753
47.348995,25.3669904,479921603,SCOALA GENERALA NR 3,,,,146753
47.3454892,25.3485408,479921614,SCOALA GENERALA NR 1,,,,146753
47.3474136,25.3522116,479921626,SCOALA GENERALA NR 4,,,,146753
44.9438617,26.302725,480004078,SCOALA SF VINERI,,,,0
44.9597799,26.1398539,480009729,LICEU VALEA CALUGAREASCA,,,,136072
46.805834,21.647366,481298144,COLEGIUL NATIONAL ARANY JANOS,,,,26984
44.9271922,26.223774,481442907,,,,,0
44.9325353,25.993005,482217261,SCOALA NR 29,,,,130543
44.9307784,26.5728,482217341,SCOALA NR 20,,,,0
45.7983196,24.1536668,482811677,SCOALA GENERALA NR 2,,13,Strada Avram Iancu,143469
45.7795362,24.1503216,482811688,LICEUL TEOLOGIC BAPTIST BETANIA,,,,143469
45.813728,24.1359068,482811698,SCOALA GENERALA NR 23,,,,143469
45.7853844,24.1164169,482811700,,,,,143469
45.7896159,24.1181592,482811701,,,,,143469
45.8065906,24.1500774,482811706,COLEGIUL TEHNIC DE INDUSTRIE ALIMENTARA,,,,143469
45.7967775,24.1787449,482811717,GRUP SCOLAR INDUSTRIA DE CONSTRUCTII MASINI,,,,143469
45.8019281,24.1502202,482833627,COLEGIUL TEHNIC INDEPENDENTA SIBIU,,,,143469
45.7785558,24.1523408,483025287,SCOALA GENERALA NR 6,,,,143469
45.8040777,24.1652008,483025356,SCOALA GENERALA NR 8,,,,143469
45.7988659,24.1536394,483025374,GRUP SCOLAR AVRAM IANCU,,,,143469
44.4563828,26.1267308,485150696,SCOALA GENERALA NR 27 PRINCIPESA ILEANA,,,,179150
46.6409718,27.7283225,487063605,LICEUL TEORETIC MIHAIL KOGALNICEANU,,,,161954
46.9599351,24.7080378,488145080,SCOALA GENERALA GLEDIN,,,,33970
44.9583679,26.3142,490607285,,,,,0
47.5640974,22.9516428,490890474,,,,,138878
47.5624178,22.9505699,490892353,,,,,138878
47.792368,22.8787534,491000180,LICEUL TEOLOGIC ROMANO CATOLIC HAM JANOS,,,,136492
47.7680585,22.8833209,491016982,SCOALA GENERALA NR 7,,,,136492
47.1349804,24.4948353,491212431,COLEGIUL NATIONAL LIVIU REBREANU,,8,Bulevardul Republicii,32401
44.9315393,26.350819,491228564,,,,,0
45.168607,26.3291737,491242040,SCOALA GENERALA CEPTURA DE JOS,,,,0
44.3760408,25.8696231,493241931,,,,,102598
44.4371396,26.1132579,494791040,COLEGIUL ECONOMIC HERMES,,152,Calea MoSilor,179150
47.8788114,26.4098378,495440631,SCOALA GENERALA VACULESTI,,,,39621
47.8778669,26.4061995,495484215,,,,,39621
43.8896517,25.9592943,495966730,SCOALA GENERALA NR 1 SFANTUL GHEORGHE,,,,100530
47.7888781,22.8830579,496799573,LICEUL ECONOMIC,,,,136492
47.7968182,22.8880275,496799574,GRUP SCOLAR DE INDUSTRIALIZAREA LEMNULUI,,,,136492
43.8934063,25.9687442,500265401,SCOALA GENERALA NR 4 MIHAI EMINESCU,,,,100530
43.8963109,25.9548116,500265415,SCOALA GENERALA NR 3,,,,100530
45.7237162,21.175748,500849664,SCOALA GENERALA NR 29,,,,155252
45.5505429,27.9877887,502105846,,,,,75187
47.503477,21.9471089,503613347,,,,,0
45.1483548,26.809516,503618409,LICEUL PEDAGOGIC SPIRU HARET,,,,44827
45.1460157,26.8479655,503774100,GRUPUL SCOLAR INDUSTRIAL TRANSPORTURI CAI FERATE,,,,44827
47.1433804,27.5964238,506453831,SCOALA GENERALA NR 14 GH MARZESCU,,,,95079
47.1426846,27.5956044,506454415,GRUPUL SCOLAR TEHNIC DE TRANSPORTURI CAI FERATE,,,,95079
47.1422109,27.5971802,506454488,COLEGIUL TEHNIC DIMITRIE LEONIDA,,,,95079
47.1437635,27.598237,506454489,COLEGIUL TEHNIC IOAN C STEFANESCU,,51 53,Bulevardul Socola,95079
45.8650709,25.7878312,506523261,SZEKELY MIKO  KOLLEGIUM,,,,63401
46.557499,24.5810921,506584370,GRUPUL SCOLAR SANITAR GH MARINESCU,,,Strada Gheorghe Marinescu,114328
43.8883537,25.9678117,506967993,SCOALA GENERALA NR 7,,,,100530
44.4951793,26.744809,509625059,SCOALA GENERALA NR 6,,74,Strada Constantin Dobrogeanu Gherea,0
47.50467,21.9199967,516102303,SCOALA SPORTIVA,,,,0
47.7858046,22.8633394,517968276,SCOALA AVRAM IANCU,,,,136492
47.1440012,27.5931192,519667127,GRUP SCOLAR NICOLINA,,,,95079
43.9084275,25.9755217,521824310,SCOALA GENERALA NR 10,,,,100530
43.9063907,25.972804,521825191,,,,,100530
47.6114176,22.7036185,522096823,,,,,137452
47.7904572,22.8818717,522123624,GRUP SCOLAR DE TRANSPORT SI TELECOMUNICATII I C BRATIANU,,,,136492
47.7944762,22.8741126,522126094,LICEUL TEORETIC DOAMNA STANCA,,,,136492
47.7958485,22.8742499,522129883,COLEGIUL NATIONAL KOLCSEY FERENC,,,,136492
47.7966788,22.8747649,522129887,COLEGIUL NATIONAL IOAN SLAVICI,,,,136492
47.7988986,22.8814082,522133570,LICEUL DE ARTA AUREL POPP,,,,136492
