COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,osm,roaep,safe,str,wikidata
4323560,2661105489,,606086,114319,114328,2661105489,MUREŞ,46.5438349,24.5627981,3,"LICEUL TEORETIC ""BOLYAI FARKAS"" TÎRGU MUREȘ",LICEUL TEORETIC BOLYAI FARKAS TIRGU MURES,TÎRGU MUREŞ,2034366503,0,0,BOLYAI,
19115427,5261101045,,562618,101617,101626,5261101045,GIURGIU,,,,SCOALA GIMNAZIALA NR.1 BUTURUGENI,SCOALA GENERALA NR 1 BUTURUGENI,BUTURUGENI,,0,0,,
,3562104406,3561101439,,159366,157139,3562104406,TIMIŞ,45.4077157264562,21.331169000222,,SCOALA PRIMARA MANASTIRE COM.BIRDA,SCOALA PRIMARA MANASTIRE COM BIRDA,MÂNĂSTIRE,,ȘCOALA PRIMARĂ MÂNĂSTIRE,83,,
4779010,1271104633,,121120998,54975,54984,1271104633,CLUJ,46.7648967,23.5880490972949,23,PALATUL COPIILOR CLUJ,PALATUL COPIILOR CLUJ,CLUJ-NAPOCA,202291031,0,0,Republicii,
29144080,1061104043,,1213848,48325,48334,1061104043,BUZĂU,,,,"LICEUL TEORETIC ""RADU VLĂDESCU"" ORAŞ PĂTÂRLAGELE",LICEUL TEORETIC RADU VLADESCU ORAS PATARLAGELE,PĂTÂRLAGELE,,0,0,"STR. AL. I. CUZA, NR. 67",
,0262103955,0261100884,,10195,10202,0262103955,ARAD,,,,GRADINITA PN BOCSIG,GRADINITA CU PROGRAMRAM NORMAL BOCSIG,BOCSIG,,0,0,PRINCIPALA NR 490,
,2662105878,2661105471,,118209,118218,2662105878,MUREŞ,,,55,ȘCOALA PRIMARĂ MICA,SCOALA PRIMARA MICA,MICA,,0,0,STR PRINCIPALA,
32114623,4061100262,,401589,179132,179196,4061100262,MUNICIPIUL BUCUREŞTI,44.4158044,26.049992,24,Şcoala Gimnazială nr. 279,SCOALA GENERALA NR 279,BUCUREŞTI SECTORUL 6,2795776876,0,0,Ghencea,
,1662103137,1661105451,,70744,70799,1662103137,DOLJ,,,,GRADINITA CU PROGRAM NORMAL LEORDOASA,GRADINITA CU PROGRAM NORMAL LEORDOASA,LEORDOASA,,0,0,,
,2462102209,2461100062,,108268,108295,2462102209,MARAMUREŞ,,,43,SCOALA GIMNAZIALA IADARA,SCOALA GENERALA IADARA,IADĂRA,,0,0,,
,3062103046,3061102678,,137844,137862,3062103046,SATU MARE,47.4154028019451,23.090925222773,150,ȘCOALA GIMNAZIALĂ GIURTELECU HODODULUI,SCOALA GENERALA GIURTELECU HODODULUI,GIURTELECU HODODULUI,,SCOALA GIMNAZIALA GIURTELECU HODODULUI,100,PRINCIPALA,
28983024,2961107211,,636770,131540,131559,2961107211,PRAHOVA,45.3305437,25.5585872,25,"ȘCOALA GIMNAZIALĂ ""PRINCIPESA MARIA"", ORAȘUL SINAIA",SCOALA GENERALA PRINCIPESA MARIA ORASUL SINAIA,SINAIA,2984211822,0,0,CALEA MOROIENI,
,1962102977,1961104242,,84594,84601,1962102977,HARGHITA,,,275,SCOALA PRIMARĂ FELSŐ NÉPISKOLA LĂZAREA,SCOALA PRIMARA FELSŐ NÉPISKOLA LAZAREA,LĂZAREA,,0,0,NAGYPATAK,
12789790,1961104803,,521195,86339,86348,1961104803,HARGHITA,46.6475995406364,25.6195002255471,386,"ȘCOALA GIMNAZIALĂ ""TEODOR CHINDEA"" VOŞLĂBENI",SCOALA GENERALA TEODOR CHINDEA VOSLABENI,VOŞLĂBENI,,"ȘCOALA GIMNAZIALĂ ,,TEODOR CHINDEA"" VOȘLĂBENI",100,PRINCIPALĂ,
13630024,2261106442,,1216668,95060,95079,2261106442,IAŞI,47.1592573,27.5717884821662,11,"LICEUL TEHNOLOGIC ECONOMIC DE TURISM, IAŞI",LICEUL TEHNOLOGIC ECONOMIC DE TURISM IASI,IAŞI,3912025,0,0,STR. MILCOV,
,0252104051,0271104414,969103,11584,11593,0252104051,ARAD,,,,CLUBUL COPIILOR PECICA,CLUBUL COPIILOR PECICA,PECICA,,0,0,,
15057536,1661105885,,481292,74224,74233,1661105885,DOLJ,,,1,SCOALA GIMNAZIALA SILISTEA CRUCII,SCOALA GENERALA SILISTEA CRUCII,SILIŞTEA CRUCII,,0,0,Gării,
,3762101757,3761104959,,163137,163155,3762101757,VASLUI,46.4506421602115,27.7812967308969,,"ȘCOALA PRIMARĂ, SAT CHIȚCANI",SCOALA PRIMARA SAT CHITCANI,CHIŢCANI,,ȘCOALA PRIMARĂ CHIȚCANI,92,,
,1862100176,1861105828,,78711,78720,1862100176,GORJ,,,,GRADINITA CU PROGRAM NORMAL NR.1 BAIA DE FIER,GRADINITA CU PROGRAM NORMAL NR 1 BAIA DE FIER,BAIA DE FIER,,0,0,,
5242986,2561102266,,591059,110232,110241,2561102266,MEHEDINŢI,,,2,"LICEUL TEORETIC ""DR.VICTOR GOMOIU""",LICEUL TEORETIC DR VICTOR GOMOIU,VÂNJU MARE,,0,0,RAHOVA,
,0362105906,0361103845,,15741,15787,0362105906,ARGEŞ,,,,ŞCOALA PRIMARĂ OESTI PĂMANTENI,SCOALA PRIMARA OESTI PAMANTENI,CORBENI,,0,0,,
4382507,4061100366,,998269,179132,179141,4061100366,MUNICIPIUL BUCUREŞTI,44.4427753,26.0995833,15,Grădiniţa nr. 248,GRADINITA NR 248,BUCUREŞTI SECTORUL 1,3207313887,0,0,"Verona Arthur, pictor",
,1262102187,1261102594,,54975,54984,1262102187,CLUJ,46.7659528,23.6026797189548,14,GRĂDINIȚA CU PROGRAM PRELUNGIT WALDORF CLUJ-NAPOCA,GRADINITA CU PROGRAM PRELUNGIT WALDORF CLUJ NAPOCA,CLUJ-NAPOCA,278311078,0,0,France Anatole,
3472180,1161103945,,971962,51010,51029,1161103945,CARAŞ-SEVERIN,,,8,ȘCOALA GIMNAZIALĂ SPECIALĂ CARANSEBEȘ,SCOALA GENERALA SPECIALA CARANSEBES,CARANSEBEŞ,,0,0,SPITALULUI,
,0562107638,0561101695,,31976,31985,0562107638,BIHOR,,,699A,GRĂDINIŢA CU PROGRAM PRELUNGIT NR.1 VADU CRIŞULUI,GRADINITA CU PROGRAM PRELUNGIT NR 1 VADU CRISULUI,VADU CRIŞULUI,,0,0,"Sat.Vadu Crişului, nr.699/A",
,1562104637,1561105638,,67407,67434,1562104637,DÂMBOVIŢA,44.8942084305625,25.3775082427391,100,GRĂDINIȚA CU PROGRAM NORMAL GEANGOEȘTI DRAGOMIREȘTI,GRADINITA CU PROGRAM NORMAL GEANGOESTI DRAGOMIRESTI,GEANGOEŞTI,,GRĂDINIȚA GEANGOEȘTI-DRAGOMIREȘTI,79,PRINCIPALA,
4279880 ,1561101661,,1033389,65342,65351,1561101661,DÂMBOVIŢA,,,2,ȘCOALA GIMNAZIALĂ SPECIALĂ TÂRGOVIȘTE,SCOALA GENERALA SPECIALA TARGOVISTE,TÂRGOVIŞTE,,0,0,Ghica Ion,
4548830,0661101323,,1130357,32483,32492,0661101323,BISTRIŢA-NĂSĂUD,,,83,"COLEGIUL NAȚIONAL ""PETRU RAREȘ"" BECLEAN",COLEGIUL NATIONAL PETRU RARES BECLEAN,BECLEAN,,0,0,Obor,
,1962103087,1961100116,,85760,85779,1962103087,HARGHITA,,,1243,GRĂDINIȚA CU PROGRAM PRELUNGIT VIHÁNCKA SÂNDOMINIC,GRADINITA CU PROGRAM PRELUNGIT VIHANCKA SANDOMINIC,SÂNDOMINIC,,0,0,VAR,
,1862104881,1861105778,,80249,80267,1862104881,GORJ,,,,"GRADINITA CU PROGRAM NORMAL COROBAI, DRAGOTESTI",GRADINITA CU PROGRAM NORMAL COROBAI DRAGOTESTI,COROBĂI,,0,0,,
,1662103797,1661105433,,74581,74607,1662103797,DOLJ,,,,GRADINITA CU PROGRAM NORMAL NR. 1 HOREZU-POENARI,GRADINITA CU PROGRAM NORMAL NR 1 HOREZU POENARI,HOREZU POENARI,,0,0,,
,0562102678,0561108603,1190864,27070,27150,0562102678,BIHOR,,,53,GRĂDINIŢA CU PROGRAM NORMAL NR.4 SUIUG,GRADINITA CU PROGRAM NORMAL NR 4 SUIUG,SUIUG,,0,0,Principala,
,0862104002,0861100287,,42183,42218,0862104002,BRAŞOV,45.606001712888,26.0203611237464,951,Școala Primară Buzăiel,SCOALA PRIMARA BUZAIEL,BUZĂIEL,,ȘCOALA PRIMARĂ BUZĂIEL,100,BUZAIEL,
,2962105064,2961100326,642248,133429,133465,2962105064,PRAHOVA,,,149C,"GRĂDINIȚA CU PROGRAM NORMAL, SAT MALAMUC, COMUNA GHERGHIȚA",GRADINITA CU PROGRAM NORMAL SAT MALAMUC COMUNA GHERGHITA,MALAMUC,,0,0,PRINCIPALĂ,
25288449,2861100911,,629052,128221,128230,2861100911,OLT,44.4666959713519,24.2653016403219,,SCOALA GIMNAZIALA PLESOIU,SCOALA GENERALA PLESOIU,PLEŞOIU,,ȘCOALA GIMNAZIALĂ PLEȘOIU,100,,
29109490,1561100131,,566949,105534,105543,1561100131,DÂMBOVIŢA,44.579455484809,25.8113030241229,395,ȘCOALA GIMNAZIALĂ TĂRTĂȘEȘTI,SCOALA GENERALA TARTASESTI,TĂRTĂŞEŞTI,,ȘCOALA GIMNAZIALĂ TĂRTĂȘEȘTI,100,INDEPENDENTEI,
,1062100758,1061105017,,48968,48995,1062100758,BUZĂU,45.3875811563284,27.1445889049005,,ŞCOALA PRIMARĂ SAT FOTIN COMUNA RÂMNICELU,SCOALA PRIMARA SAT FOTIN COMUNA RAMNICELU,FOTIN,,ȘCOALA SAT FOTIN,56,,
14117591,3361104228,,7166841,146370,146389,3361104228,SUCEAVA,,,38,SCOALA GIMNAZIALA ”AUREL STANCIU” SALCEA,SCOALA GENERALA AUREL STANCIU SALCEA,SALCEA,,0,0,CALEA SUCEVEI,
,1062100975,1061106488,,50022,50040,1062100975,BUZĂU,,,,GRĂDINIŢA CU PROGRAM NORMAL SAT OREAVUL COMUNA VALEA RÂMNICULUI,GRADINITA CU PROGRAM NORMAL SAT OREAVUL COMUNA VALEA RAMNICULUI,OREAVUL,,0,0,,
247,1261201953,,,54975,54984,1261201953,CLUJ,46.76887055,23.5690136416057,18,"GRĂDINIȚA CU PROGRAM NORMAL ""DISCHUS KINDERGARTEN"" CLUJ-NAPOCA",GRADINITA CU PROGRAM NORMAL DISCHUS KINDERGARTEN CLUJ NAPOCA,CLUJ-NAPOCA,280436807,0,0,Toduţă Sigismund,
,2262101871,2261105206,553447,99673,99717,2262101871,IAŞI,,,,"GRĂDINIȚA CU PROGRAM NORMAL, GÎRBEȘTI",GRADINITA CU PROGRAM NORMAL GIRBESTI,GÂRBEŞTI,,0,0,,
,2662104176,2661104805,,119661,119689,2662104176,MUREŞ,,,42,GRĂDINIȚA CU PROGRAM NORMAL IDRIFAIA,GRADINITA CU PROGRAM NORMAL IDRIFAIA,IDRIFAIA,,0,0,PRINCIPALA,
,3562105063,3561106263,,157898,157914,3562105063,TIMIŞ,45.6513744798857,22.1216676283329,,SCOALA PRIMARA CRIVINA COM.NADRAG,SCOALA PRIMARA CRIVINA COM NADRAG,CRIVINA,,ȘCOALA PRIMARA CRIVINA,80,,
,1162101495,1161103357,,53130,53158,1162101495,CARAŞ-SEVERIN,,,,GRĂDINIŢA CU PROGRAM NORMAL VERENDIN,GRADINITA CU PROGRAM NORMAL VERENDIN,VERENDIN,,0,0,,
,1162101328,1161104082,422703,54617,54671,1162101328,CARAŞ-SEVERIN,,,,GRĂDINIŢA CU PROGRAM NORMAL VOISLOVA,GRADINITA CU PROGRAM NORMAL VOISLOVA,VOISLOVA,,0,0,,
,2662100344,2661104678,,114710,114729,2662100344,MUREŞ,,,8,GRĂDINIŢA CU PROGRAM NORMAL NR.1 LUDUŞ,GRADINITA CU PROGRAM NORMAL NR 1 LUDUS,LUDUŞ,,0,0,PRIMAVERII,
,5162103302,5161100665,,93851,93860,5162103302,CĂLĂRAŞI,,,,GRADINITA PROGRAM NORMAL NR.1 LEHLIU,GRADINITA CU PROGRAMRAM NORMAL NR 1 LEHLIU,LEHLIU,,0,0,,
,0562105161,0561101338,,29243,32219,0562105161,BIHOR,,,18,GRĂDINIȚA CU PROGRAM NORMAL NR.7 PĂCĂLEȘTI,GRADINITA CU PROGRAM NORMAL NR 7 PACALESTI,PĂCĂLEŞTI,,0,0,principala,
,1862103853,1861104673,,80123,80230,1862103853,GORJ,,,,"GRADINITA CU PROGRAM NORMAL VACAREA, DANESTI",GRADINITA CU PROGRAM NORMAL VACAREA DANESTI,VĂCAREA,,0,0,,
,0362103085,0361104656,,17049,17067,0362103085,ARGEŞ,45.0155263007423,24.7539078681069,,ŞCOALA PRIMARĂ BUNEŞTI,SCOALA PRIMARA BUNESTI,BUNEŞTI,,ȘCOALA BUNEȘTI,78,,
17978677,1261104655,,120440028,59283,59292,1261104655,CLUJ,,,137,"ȘCOALA GIMNAZIALĂ SĂCUIEU, COM. SĂCUIEU",SCOALA GENERALA SACUIEU COM SACUIEU,SĂCUIEU,,0,0,,
,3462102455,3461100806,,151736,151754,3462102455,TELEORMAN,,,83,GRĂDINIȚA CU PROGRAM NORMAL NR. 3 MOLDOVENI,GRADINITA CU PROGRAM NORMAL NR 3 MOLDOVENI,MOLDOVENI,,0,0,ȘOS. ISLAZULUI,
,3562102969,3561100646,,156767,156776,3562102969,TIMIŞ,,,,GRADINITA CU PROGRAM NORMAL COM.DUMBRAVA,GRADINITA CU PROGRAM NORMAL COM DUMBRAVA,DUMBRAVA,,0,0,,
,0962101368,0961102152,406527,43331,43340,0962101368,BRĂILA,,,,GRĂDINIŢA CU PROGRAM NORMAL NR.1 IANCA,GRADINITA CU PROGRAM NORMAL NR 1 IANCA,IANCA,,0,0,BRAILEI,
,1362103191,1361101881,,61256,61274,1362103191,CONSTANŢA,,,,GRĂDINIŢA CU PROGRAM NORMAL MIORIŢA,GRADINITA CU PROGRAM NORMAL MIORITA,MIORIŢA,,0,0,,
3228659,1161103497,,425561,51010,51029,1161103497,CARAŞ-SEVERIN,,,14,"COLEGIUL NAŢIONAL ""TRAIAN DODA"" CARANSEBEŞ",COLEGIUL NATIONAL TRAIAN DODA CARANSEBES,CARANSEBEŞ,,0,0,LIBERTĂŢII,
,3262100343,3261102467,320675087,145220,145257,3262100343,SIBIU,46.0311347931978,23.9523444715475,,SCOALA PRIMARA BROSTENI,SCOALA PRIMARA BROSTENI,BROŞTENI,,ȘCOALA PRIMARA BROȘTENI,100,"PRINCIPALA, NR. 70",
,2462103237,2461100356,,108473,108482,2462103237,MARAMUREŞ,47.8241534310754,24.4486687198647,126,SCOALA GIMNAZIALA NR. 2 POIENILE DE SUB MUNTE,SCOALA GENERALA NR 2 POIENILE DE SUB MUNTE,POIENILE DE SUB MUNTE,,ȘCOALA GIMNAZIALĂ NR. 4 HORB POIENILE DE SUB MUNTE,92,LUHEI,
,1662100699,1661104798,,74554,74563,1662100699,DOLJ,,,,GRADINITA CU PROGRAM NORMAL NR. 1 URZICUTA,GRADINITA CU PROGRAM NORMAL NR 1 URZICUTA,URZICUŢA,,0,0,,
18994085,0861101555,,393562,40303,40312,0861101555,BRAŞOV,,,,Grădinița cu Program Normal Nr. 1 Predeal,GRADINITA CU PROGRAM NORMAL NR 1 PREDEAL,PREDEAL,,0,0,,
,0562104784,0561101053,362850,29813,29877,0562104784,BIHOR,,,176,ŞCOALA GIMNAZIALĂ NR.2 GEPIŞ,SCOALA GENERALA NR 2 GEPIS,GEPIŞ,,0,0,principala,
,0762100248,0761105099,,36060,36079,0762100248,BOTOŞANI,,,72,GRADINITA CU PROGRAM NORMAL NR 3 SAVENI,GRADINITA CU PROGRAM NORMAL NR 3 SAVENI,SĂVENI,,0,0,STEFAN CEL MARE,
,3862104935,3861100818,,172377,172402,3862104935,VÂLCEA,,,,GRADINITA CU PROGRAM NORMAL,GRADINITA CU PROGRAM NORMAL,DĂEŞTI,,0,0,,
,1862104085,1861106033,,82396,82412,1862104085,GORJ,45.0106465852166,23.0725173302379,,"SCOALA PRIMARA BUDUHALA NR.2, TELESTI",SCOALA PRIMARA BUDUHALA NR 2 TELESTI,BUDUHALA,,ȘCOALA PRIMARĂ TELEȘTI,76,,
18986481,3461103723,,34699033,153026,153044,3461103723,TELEORMAN,,,,ȘCOALA GIMNAZIALĂ BÂSCOVENI,SCOALA GENERALA BASCOVENI,BÂSCOVENI,,0,0,,
17965600,1261102386,,121016264,54975,54984,1261102386,CLUJ,46.7801929,23.5996704,22,"GRĂDINIȚA CU PROGRAM PRELUNGIT ""CĂSUȚA POVEȘTILOR"" CLUJ-NAPOCA",GRADINITA CU PROGRAM PRELUNGIT CASUTA POVESTILOR CLUJ NAPOCA,CLUJ-NAPOCA,3304712965,0,0,Bucureşti,
,2252102944,2251105219,,97438,97447,2252102944,IAŞI,,,,CLUBUL COPIILOR HĂLĂUCEȘTI,CLUBUL COPIILOR HALAUCESTI,HĂLĂUCEŞTI,,0,0,,
4323233,2661104289,,606244,114319,114328,2661104289,MUREŞ,46.540598,24.5748366129224,37,"LICEUL VOCAȚIONAL PEDAGOGIC ""MIHAI EMINESCU"" TÎRGU MUREȘ",LICEUL VOCATIONAL PEDAGOGIC MIHAI EMINESCU TIRGU MURES,TÎRGU MUREŞ,271459179,0,0,ALEXANDRU PAPIU ILARIAN,
,1362102588,1361101628,,63198,61470,1362102588,CONSTANŢA,,,,GRĂDINIŢA CU PROGRAM NORMAL CASICEA,GRADINITA CU PROGRAM NORMAL CASICEA,CASICEA,,0,0,,
,3562103337,3561101796,,158396,158430,3562103337,TIMIŞ,45.8375295799641,21.4187253664002,,SCOALA PRIMARA IANOVA COM. REMETEA MARE,SCOALA PRIMARA IANOVA COM REMETEA MARE,IANOVA,,ȘCOALA PRIMARA IANOVA,71,,
32370630,4061100488,,767933,179132,179178,4061100488,MUNICIPIUL BUCUREŞTI,,,6,"Şcoala Gimnazială ""George Topârceanu""",SCOALA GENERALA GEORGE TOPARCEANU,BUCUREŞTI SECTORUL 4,,0,0,Argeşelu,
,0762101389,0761105113,22222,38492,38526,0762101389,BOTOŞANI,,,,SCOALA PRIMARA ’’SFANTUL IOAN IACOB HOZEVITUL’’ HORODISTEA,SCOALA PRIMARA SFANTUL IOAN IACOB HOZEVITUL HORODISTEA,HORODIŞTEA,,0,0,,
,3762106599,3761107501,,165470,165559,3762106599,VASLUI,46.4970612776085,27.3956576206939,,"ȘCOALA PRIMARĂ, SAT FULGU",SCOALA PRIMARA SAT FULGU,FULGU,,"ȘCOALA PRIMARĂ, SAT FULGU",100,,
17169447,2261105952,,552259,99058,99067,2261105952,IAŞI,,,,"ȘCOALA GIMNAZIALĂ ""VENIAMIN COSTACHI"", SINEŞTI",SCOALA GENERALA VENIAMIN COSTACHI SINESTI,SINEŞTI,,0,0,,
,3362101157,3361103141,,149968,149995,3362101157,SUCEAVA,47.4521617164801,26.4379878148502,,SCOALA GIMNAZIALA BASARABI,SCOALA GENERALA BASARABI,BASARABI,,ȘCOALA GIMNAZIALĂ BASARABI,100,,
831825,0261100771,,831825,9574,9583,0261100771,ARAD,46.0960226029627,21.7013654230615,,"LICEUL ""SEVER BOCU"" LIPOVA",LICEUL SEVER BOCU LIPOVA,LIPOVA,,LICEUL SEVER BOCU (GRĂDINIȚA P.P. LIPOVA),75,V. BUGARIU NR. 5,
,0462106806,0461106593,,21757,21800,0462106806,BACĂU,,,,GRADINITA CU PROGRAM NORMAL HELTIU,GRADINITA CU PROGRAM NORMAL HELTIU,HELTIU,,0,0,,
,3162103474,3161100575,,139884,139900,3162103474,SĂLAJ,,,21,GRĂDINIȚA CU PROGRAM NORMAL BIC,GRADINITA CU PROGRAM NORMAL BIC,BIC,,0,0,Principală,
,0462106245,0461106001,,20466,20484,0462106245,BACĂU,,,,SCOALA GIMNAZIALA BARATI,SCOALA GENERALA BARATI,BARAŢI,,0,0,,
,1162101147,1161103868,,53023,53041,1162101147,CARAŞ-SEVERIN,,,42,ŞCOALA PRIMARĂ GLOBU CRAIOVEI,SCOALA PRIMARA GLOBU CRAIOVEI,GLOBU CRAIOVEI,,0,0,PRINCIPALĂ,
,3462102188,3461100964,,151905,151914,3462102188,TELEORMAN,44.265415442005,25.5583417710044,67,GRĂDINIȚA CU PROGRAM NORMAL NR. 2 VIDELE (TĂMĂȘEȘTI),GRADINITA CU PROGRAM NORMAL NR 2 VIDELE (TAMASESTI),VIDELE,,"GRĂDINIȚA CU PROGRAM NORMAL NR. 2, TĂMĂȘEȘTI",90,PLANTELOR,
,3262100732,3261102087,321271773,143450,143469,3262100732,SIBIU,,,,SCOALA GIMAZIALA NR.22 SIBIU,SCOALA GIMAZIALA NR 22 SIBIU,SIBIU,,0,0,DR.BAGDAZAR NR. 1-3,
,3762107365,3761104145,,161829,161838,3762107365,VASLUI,,,,"GRĂDINIŢA CU PROGRAM NORMAL NR. 3, MUN. HUŞI",GRADINITA CU PROGRAM NORMAL NR 3 MUN HUSI,HUŞI,,0,0,,
7053860,0161202397,,3049459,1017,1026,0161202397,ALBA,,,,"LICEUL TEORETIC ""SFANTUL IOSIF"" ALBA IULIA",LICEUL TEORETIC SFANTUL IOSIF ALBA IULIA,ALBA IULIA,,0,0,"FERDINAND I, NR. 19",
,1862100502,1861106042,,79157,79175,1862100502,GORJ,,,,"SCOALA PRIMARA BANIU, BORASCU",SCOALA PRIMARA BANIU BORASCU,BANIU,,0,0,,
,1362103223,1361101931,,62191,62208,1362103223,CONSTANŢA,,,,GRĂDINIŢA CU PROGRAM NORMAL IAS MIHAIL KOGĂLNICEANU,GRADINITA CU PROGRAM NORMAL IAS MIHAIL KOGALNICEANU,MIHAIL KOGĂLNICEANU,,0,0,,
29110770,3861100899,,741977,172279,172288,3861100899,VÂLCEA,,,,SCOALA GIMNAZIALA PESCEANA,SCOALA GENERALA PESCEANA,PESCEANA,,0,0,,
,5142100447,5141100714,,100610,100629,5142100447,CĂLĂRAŞI,44.0835236027836,26.6390573014049,,"CENTRUL SCOLAR DE ASISTENTA PSIHOPEDAGOGICA SCOALA GIMNAZIALA ""SPIRU HARET"" OLTENITA",CENTRUL SCOLAR DE ASISTENTA PSIHOPEDAGOGICA SCOALA GENERALA SPIRU HARET OLTENITA,OLTENIŢA,,"ȘCOALA GIMNAZIALĂ ""SPIRU HARET""",50,,
20776732,3161104258,,310335912,139884,139893,3161104258,SĂLAJ,,,128,ȘCOALA GIMNAZIALĂ NR.1 PUSTA,SCOALA GENERALA NR 1 PUSTA,ŞIMLEU SILVANIEI,,0,0,PUSTA,
,1362102059,1361101854,,62137,62182,1362102059,CONSTANŢA,,,143,ŞCOALA PRIMARĂ NR. 1 OSMANCEA,SCOALA PRIMARA NR 1 OSMANCEA,OSMANCEA,,0,0,ŞCOLII,
17404275,0961101626,,405511,43929,43938,0961101626,BRĂILA,45.331024356566,27.6159575466268,8,ŞCOALA GIMNAZIALĂ SCORŢARU NOU,SCOALA GENERALA SCORTARU NOU,SCORŢARU NOU,,ȘCOALA GIMNAZIALĂ SCORȚARU NOU,100,Administraţiei,
26691147,2461101158,,579685,106318,106327,2461101158,MARAMUREŞ,,,,GRADINITA CU PROGRAM PRELUNGIT STEP BY STEP BAIA MARE,GRADINITA CU PROGRAM PRELUNGIT STEP BY STEP BAIA MARE,BAIA MARE,,0,0,VICTOR BABES NR.2,
,1662102127,1661105261,,70414,70423,1662102127,DOLJ,,,16,SCOALA PRIMARA RROMI FILIASI,SCOALA PRIMARA RROMI FILIASI,FILIAŞI,,0,0,DEZROBIRII,
3627650,2461101407,,792225,106559,106568,2461101407,MARAMUREŞ,47.933848460733,23.8963595381789,43,LICEUL TEHNOLOGIC FORESTIER SIGHETU MARMATIEI,LICEUL TEHNOLOGIC FORESTIER SIGHETU MARMATIEI,SIGHETU MARMAŢIEI,,LICEUL TEHNOLOGIC FORESTIER,75,DRAGOS VODA,
,1062103883,1061105071,,47630,47756,1062103883,BUZĂU,,,,GRĂDINIŢA CU PROGRAM NORMAL SAT VALEA COTOAREI COMUNA MÂNZĂLEŞTI,GRADINITA CU PROGRAM NORMAL SAT VALEA COTOAREI COMUNA MANZALESTI,VALEA COTOAREI,,0,0,,
,2862104182,2861100721,,129987,130008,2862104182,OLT,,,,SCOALA PRIMARA BARCANESTI,SCOALA PRIMARA BARCANESTI,BĂRCĂNEŞTI,,0,0,,
,0462105348,0461104718,,21123,21141,0462105348,BACĂU,,,,SCOALA GIMNAZIALA NR 1 APA ASAU,SCOALA GENERALA NR 1 APA ASAU,APA ASĂU,,0,0,,
,3262103337,3261101986,320984971,143735,143744,3262103337,SIBIU,,,22,GRADINITA CU PROGRAM PRELUNGIT NR 4 CISNADIE,GRADINITA CU PROGRAM PRELUNGIT NR 4 CISNADIE,CISNĂDIE,,0,0,Bailor,
,2362101119,2361101639,,100576,100585,2362101119,ILFOV,,,108,GRĂDINIȚA NR. 4 BUFTEA,GRADINITA NR 4 BUFTEA,BUFTEA,,0,0,AGRICULTORI,
,3262100976,3261101638,320673326,143450,143469,3262100976,SIBIU,,,,GRADINITA CU PROGRAM PRELUNGIT NR 20 SIBIU,GRADINITA CU PROGRAM PRELUNGIT NR 20 SIBIU,SIBIU,,0,0,ST.O.IOSIF NR 11,
29446606,1361101655,,130954469,60419,60428,1361101655,CONSTANŢA,44.147125716014,28.6190114910849,2,ŞCOALA GIMNAZIALĂ NR. 33 ’ANGHEL SALIGNY’ CONSTANŢA,SCOALA GENERALA NR 33 ANGHEL SALIGNY CONSTANTA,CONSTANŢA,,"ȘCOALA GIMNAZIALA NR. 33 ""ANGHEL SALIGNY""",88,Narciselor,
17990034,1261100131,,120439354,57644,57653,1261100131,CLUJ,,,233,"ȘCOALA PRIMARĂ FIZEȘU GHERLII, COM. FIZEȘU GHERLII",SCOALA PRIMARA FIZESU GHERLII COM FIZESU GHERLII,FIZEŞU GHERLII,,0,0,,
,1962101836,1961104495,,85626,85635,1962101836,HARGHITA,,,216,"GRĂDINIȚA ""TÖRPIKE"" SICULENI",GRADINITA TÖRPIKE SICULENI,SICULENI,,0,0,VARGASZEG,
,1562102775,1561100158,,69330,69349,1562102775,DÂMBOVIŢA,,,10,ȘCOALA PRIMARĂ NR.1 OBORANI VIȘINA,SCOALA PRIMARA NR 1 OBORANI VISINA,VIŞINA,,0,0,OBORANI,
22751297,3961101044,,758449,177263,177272,3961101044,VRANCEA,,,30,"SCOALA GIMNAZIALA ""DR. COSTICA BALAN"" POIANA CRISTEI",SCOALA GENERALA DR COSTICA BALAN POIANA CRISTEI,POIANA CRISTEI,,0,0,Pinului,
3520040,0261101098,,1062433,9262,9271,0261101098,ARAD,46.1846991029641,21.3091127244195,1-3,"COLEGIUL NATIONAL ""VASILE GOLDIS"" ARAD",COLEGIUL NATIONAL VASILE GOLDIS ARAD,ARAD,,"COLEGIUL NAȚIONAL ""VASILE GOLDIȘ""",93,VICTORIEI NR. 1 - 3,
29097506,0461107499,,1189774,20297,20304,0461107499,BACĂU,46.5772517015304,26.9109838184052,,"SCOALA GIMNAZIALA ""MIHAI DRAGAN"" BACAU",SCOALA GENERALA MIHAI DRAGAN BACAU,BACĂU,,"ȘCOALA GIMNAZIALĂ ,,MIHAI DRĂGAN,,",90,LOGOFAT TAUTU NR 7,
,0262103747,0261104332,,11539,11548,0262103747,ARAD,,,,GRADINITA PN NR 1 PAULIS,GRADINITA CU PROGRAMRAM NORMAL NR 1 PAULIS,PĂULIŞ,,0,0,,
,3362106899,3361104038,,147884,147919,3362106899,SUCEAVA,,,,SCOALA PRIMARA COJOCI,SCOALA PRIMARA COJOCI,COJOCI,,0,0,,
