COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,osm,roaep,safe,str,wikidata
3897327,3061102651,,99386,136483,136492,3061102651,SATU MARE,47.7903123022504,22.8823598222562,1,"COLEGIUL TEHNIC DE TRANSPORTURI ȘI TELECOMUNICAȚII ""ION I. C. BRĂTIANU"" SATU MARE",COLEGIUL TEHNIC DE TRANSPORTURI SI TELECOMUNICATII ION I C BRATIANU SATU MARE,SATU MARE,,"COLEGIUL TEHNIC DE TRANSP. ȘI TELECOMUNICAȚII “ I.C. BRĂTIANU """,85,VASILE LUCACIU,
9841260,1871104606,,510641,77812,77821,1871104606,GORJ,,,28,PALATUL COPIILOR TG-JIU,PALATUL COPIILOR TG JIU,TÂRGU JIU,,0,0,STR SIRETULUI,
28053129,1361100672,,130452409,61210,61229,1361100672,CONSTANŢA,43.9027628408906,28.2265673973464,43,ŞCOALA GIMNAZIALĂ NR. 1 CHIRNOGENI,SCOALA GENERALA NR 1 CHIRNOGENI,CHIRNOGENI,,ȘCOALA GIMNAZIALĂ NR.1 CHIRNOGENI,100,ŞOS. NEGRU VODĂ,
26702718,0861101944,,1144293,40198,40205,0861101944,BRAŞOV,45.6376265955393,25.580296382836,,Grădinița cu Program Prelungit 'Junior' Nr. 26 Brașov,GRADINITA CU PROGRAM PRELUNGIT JUNIOR NR 26 BRASOV,BRAŞOV,,GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 2,82,,
,0262100233,0261100622,,9459,9468,0262100233,ARAD,46.5143357437108,21.5092049304881,,"GRADINITA PP ""PADURENI"" CHISINEU CRIS",GRADINITA CU PROGRAMRAM PRELUNGIT PADURENI CHISINEU CRIS,CHIŞINEU-CRIŞ,,"GRĂDINIȚA ""PĂDURENI""",49,,
,0362101124,0361104181,,14165,14254,0362101124,ARGEŞ,,,1,ȘCOALA GIMNAZIALĂ VALEA LUI ENACHE,SCOALA GENERALA VALEA LUI ENACHE,VALEA LUI ENACHE,,0,0,PRINCIPALĂ,
29165406,2961101951,,641206,131443,131452,2961101951,PRAHOVA,,,20C,"GRĂDINIȚA CU PROGRAM NORMAL ȘI PROGRAM PRELUNGIT ""FRUNZA DE STEJAR"", ORAȘUL PLOPENI",GRADINITA CU PROGRAM NORMAL SI PROGRAM PRELUNGIT FRUNZA DE STEJAR ORASUL PLOPENI,PLOPENI,,0,0,REPUBLICII,
,2262106935,2261105821,,98220,98239,2262106935,IAŞI,,,,"GRĂDINIȚA CU PROGRAM NORMAL, BOURENI",GRADINITA CU PROGRAM NORMAL BOURENI,MOŢCA,,0,0,,
,3162102808,3161100792,,142373,142408,3162102808,SĂLAJ,,,65,GRĂDINIȚA CU PROGRAM NORMAL GOSTILA,GRADINITA CU PROGRAM NORMAL GOSTILA,GOSTILA,,0,0,Principală,
14998025,1661105383,,481371,74322,74331,1661105383,DOLJ,44.159804562508,23.8671573183999,,SCOALA GIMNAZIALA TEASC,SCOALA GENERALA TEASC,TEASC,,ȘCOALA GIMNAZIALĂ TEASC,100,,
,2662106359,2661105254,,115708,115762,2662106359,MUREŞ,,,35,GRĂDINIȚA CU PROGRAM NORMAL ȘERBENI,GRADINITA CU PROGRAM NORMAL SERBENI,ŞERBENI,,0,0,PRINCIPALĂ,
29027837,3861105289,,740820,173533,173542,3861105289,VÂLCEA,45.0855485452496,23.9094635881369,,SCOALA GIMNAZIALA CAPITAN MARASANU STROESTI,SCOALA GENERALA CAPITAN MARASANU STROESTI,STROEŞTI,,ȘCOALA CU CLASELE I-VIII CĂPITAN MĂRĂȘANU STROEȘTI,77,,
,2662107401,2661105394,,114319,114328,2662107401,MUREŞ,,,1,"GRĂDINIȚA CU PROGRAM PRELUNGIT ""PARADISUL COPILĂRIEI"" TÎRGU MUREȘ",GRADINITA CU PROGRAM PRELUNGIT PARADISUL COPILARIEI TIRGU MURES,TÎRGU MUREŞ,,0,0,PROGRESULUI,
5593758,1261102825,,121181071,54975,54984,1261102825,CLUJ,46.7620090036024,23.5524136144153,3,"COLEGIUL TEHNIC ""NAPOCA"" CLUJ-NAPOCA",COLEGIUL TEHNIC NAPOCA CLUJ NAPOCA,CLUJ-NAPOCA,,COLEGIUL TEHNIC NAPOCA,79,Taberei,
29033960,0261100102,,1185871,9262,9271,0261100102,ARAD,46.1764503,21.3600791798389,248,"GRADINITA PP ""CASUTA PITICILOR"" ARAD",GRADINITA CU PROGRAMRAM PRELUNGIT CASUTA PITICILOR ARAD,ARAD,200647335,0,0,Calea Radnei,
28996253,2061100787,,529070,90262,90271,2061100787,HUNEDOARA,45.8136742670108,23.1289621815301,,ȘCOALA PRIMARĂ MĂRTINEȘTI,SCOALA PRIMARA MARTINESTI,MĂRTINEŞTI,,SCOALA PRIMARA MĂRTINEȘTI,100,,
,0552105916,0571101402,500622,26699,26706,0552105916,BIHOR,,,7A,CLUBUL COPIILOR ȘI ELEVILOR ALEȘD,CLUBUL COPIILOR SI ELEVILOR ALESD,ALEŞD,,0,0,Cart. Soimu,
,2662101838,2661104027,,118281,118325,2662101838,MUREŞ,,,80,"ȘCOALA PRIMARĂ ""IOAN IACOB"" LĂURENI",SCOALA PRIMARA IOAN IACOB LAURENI,LĂURENI,,0,0,PRINCIPALA,
4568039,3461100091,,832178,151790,151807,3461100091,TELEORMAN,43.9755079545859,25.3225654213176,69,"LICEUL TEHNOLOGIC ""NICOLAE BĂLCESCU"" ALEXANDRIA",LICEUL TEHNOLOGIC NICOLAE BALCESCU ALEXANDRIA,ALEXANDRIA,,"LICEUL TEHNOLOGIC ""NICOLAE BĂLCESCU""",86,LIBERTĂȚII,
28987514,2561101939,,590495,112879,112888,2561101939,MEHEDINŢI,,,240,"ŞCOALA GIMNAZIALĂ ""CONSTANTIN TRUŞCĂ"" PĂTULELE",SCOALA GENERALA CONSTANTIN TRUSCA PATULELE,PĂTULELE,,0,0,ZILELE RECUNOȘTINȚEI,
,2762103409,2761101981,,123371,123406,2762103409,NEAMŢ,47.1588717643668,26.5709640590226,43,"ȘCOALA GIMNAZIALĂ NR. 1, SAT RĂDENI, COMUNA PĂSTRĂVENI",SCOALA GENERALA NR 1 SAT RADENI COMUNA PASTRAVENI,RĂDENI,,"ȘCOALA GIMNAZIALA, COMUNA PASTRAVENI",80,PRINCIPALĂ,
,2262101672,2261102732,,96593,96619,2262101672,IAŞI,,,,"GRĂDINIȚA CU PROGRAM NORMAL, PODOLENII DE JOS",GRADINITA CU PROGRAM NORMAL PODOLENII DE JOS,PODOLENII DE JOS,,0,0,,
,2562100169,2561101704,,111097,111177,2562100169,MEHEDINŢI,,,58,SCOALA PRIMARA POIANA,SCOALA PRIMARA POIANA,POIANA,,0,0,PRINCIPALĂ,
,3762101169,3761104882,,166529,166547,3762101169,VASLUI,46.1610857782932,27.5938686529955,,"ȘCOALA GIMNAZIALĂ, SAT BĂDEANA",SCOALA GENERALA SAT BADEANA,BĂDEANA,,ȘCOALA GIMNAZIALA BADEANA,92,,
,3162104204,3161100815,,140958,140985,3162104204,SĂLAJ,,,27,ȘCOALA PRIMARĂ DOBA,SCOALA PRIMARA DOBA,DOBA,,0,0,Principală,
