COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,osm,str,wikidata
210000,4061207041,,40000000,179132,179150,4061207041,MUNICIPIUL BUCUREŞTI,,,161-163,"Liceul Teoretic ""Dr. Mioara Mincu""",LICEUL TEORETIC DR MIOARA MINCU,BUCUREŞTI SECTORUL 2,,Viitorului,
,2862103855,2861101161,,126585,126638,2862103855,OLT,,,,GRADINITA CU PROGRAM NORMAL ZANOAGA,GRADINITA CU PROGRAM NORMAL ZANOAGA,ZĂNOAGA,,,
,1862101806,1861105516,,80980,81068,1862101806,GORJ,,,,"GRADINITA CU PROGRAM NORMAL RACI, NEGOMIR",GRADINITA CU PROGRAM NORMAL RACI NEGOMIR,RACI,,,
23852974,5161103573,,538033,93085,93094,5161103573,CĂLĂRAŞI,,,,SCOALA GIMNAZIALA NR.1 CIOCANESTI,SCOALA GIMNAZIALA NR 1 CIOCANESTI,CIOCĂNEŞTI,,,
4405899,3261101597,,321182439,143450,143469,3261101597,SIBIU,,,,"COLEGIUL TEHNIC ""INDEPENDENTA"" SIBIU",COLEGIUL TEHNIC INDEPENDENTA SIBIU,SIBIU,,GLADIOLELOR NR 2,
4455340,0481108334,,357154,20297,20304,0481108334,BACĂU,,,,CLUBUL SPORTIV SCOLAR BACAU,CLUBUL SPORTIV SCOLAR BACAU,BACĂU,,OITUZ NR 15,
,3362107801,3361102999,,146263,146272,3362107801,SUCEAVA,,,73,GRADINITA CU PROGRAM NORMAL NR. 8 SUCEAVA,GRADINITA CU PROGRAM NORMAL NR 8 SUCEAVA,SUCEAVA,,GRIGORE GHICA,
4426867,0661103732,,1068774,32394,32401,0661103732,BISTRIŢA-NĂSĂUD,,,2BIS,CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ NR.2 BISTRIȚA,CENTRUL SCOLAR DE EDUCATIE INCLUZIVA NR 2 BISTRITA,BISTRIŢA,,Toamnei,
,1662103779,1661104536,,74359,74386,1662103779,DOLJ,,,,SCOALA PRIMARA CACIULATU,SCOALA PRIMARA CACIULATU,CĂCIULATU,,,
,3962103688,3961100988,,177236,177245,3962103688,VRANCEA,,,1,SCOALA PRIMARA NOVACESTI,SCOALA PRIMARA NOVACESTI,PĂUNEŞTI,,Principala,
,3362101582,3361103132,,148514,148541,3362101582,SUCEAVA,,,,GRADINITA CU PROGRAM NORMAL BOURA,GRADINITA CU PROGRAM NORMAL BOURA,BOURA,,,
4972044,0361103596,,300268,18778,18787,0361103596,ARGEŞ,,,1,"LICEUL TEHNOLOGIC ""I.C. PETRESCU"" STÂLPENI",LICEUL TEHNOLOGIC I C PETRESCU STALPENI,STÂLPENI,,PRINCIPALA,
18940913,3961100527,,759302,175938,175947,3961100527,VRANCEA,,,57,"SCOALA GIMNAZIALA ""DUILIU ZAMFIRESCU"" DUMBRAVENI",SCOALA GIMNAZIALA DUILIU ZAMFIRESCU DUMBRAVENI,DUMBRĂVENI,,Duiliu Zamfirescu,
,1262100678,1261103107,120439483,58008,58026,1262100678,CLUJ,,,,"ȘCOALA PRIMARĂ AGRIȘ, COM. IARA",SCOALA PRIMARA AGRIS COM IARA,AGRIŞ,,,
,3362107864,3361103367,,150445,150463,3362107864,SUCEAVA,,,,SCOALA PRIMARA GURA HAITII,SCOALA PRIMARA GURA HAITII,GURA HAITII,,,
,5162101571,5161100796,,105259,105277,5162101571,CĂLĂRAŞI,,,,GRADINITA CU PROGRAM NORMAL NR.3 CETATEA VECHE,GRADINITA CU PROGRAM NORMAL NR 3 CETATEA VECHE,CETATEA VECHE,,,
29334580,0361103601,,331126,13169,13178,0361103601,ARGEŞ,,,13,"ȘCOALA GIMNAZIALĂ ""NEGRU VODĂ"" PITEȘTI",SCOALA GIMNAZIALA NEGRU VODA PITESTI,PITEŞTI,,BRADULUI,
,1862105294,1861105421,,78604,78631,1862105294,GORJ,,,,"GRADINITA CU PROG NORMAL NR 1 COSTESTI, ANINOASA",GRADINITA CU PROG NORMAL NR 1 COSTESTI ANINOASA,COSTEŞTI,,,
17161028,2261105893,,554219,100219,100255,2261105893,IAŞI,,,,"ȘCOALA GIMNAZIALĂ, SLOBOZIA",SCOALA GIMNAZIALA SLOBOZIA,SLOBOZIA,,,
,0162103667,0161102381,,5577,5684,0162103667,ALBA,,,,GRADINITA CU PROGRAM NORMAL TAUTI,GRADINITA CU PROGRAM NORMAL TAUTI,TĂUŢI,,,
4349136,1261102635,,120344676,54975,54984,1261102635,CLUJ,,,41,"COLEGIUL TEHNIC ""ANA ASLAN"" CLUJ-NAPOCA",COLEGIUL TEHNIC ANA ASLAN CLUJ NAPOCA,CLUJ-NAPOCA,,Decebal,
,0762101493,0761105321,224,38241,38303,0762101493,BOTOŞANI,,,,SCOALA PRIMARA NR. 1 SARATA MIHALASENI,SCOALA PRIMARA NR 1 SARATA MIHALASENI,SARATA,,SARATA,
24897192,2461101497,,582060,107546,107555,2461101497,MARAMUREŞ,,,117,SCOALA GIMNAZIALA CALINESTI,SCOALA GIMNAZIALA CALINESTI,CĂLINEŞTI,,CALINESTI,
29443413,1361105297,,130451637,60419,60428,1361105297,CONSTANŢA,44.15474305,28.6138989779619,51A,ŞCOALA GIMNAZIALĂ NR. 18 ’JEAN BART’ CONSTANŢA,SCOALA GIMNAZIALA NR 18 JEAN BART CONSTANTA,CONSTANŢA,366778947,Ursu Ioan,
,1562102169,1561101001,,68887,68896,1562102169,DÂMBOVIŢA,,,140,GRĂDINIȚA CU PROGRAM NORMAL ȘELARU,GRADINITA CU PROGRAM NORMAL SELARU,ŞELARU,,PRINCIPALĂ,
,0362102387,0361100019,,18670,18689,0362102387,ARGEŞ,,,,ŞCOALA PRIMARĂ RUDĂRIE,SCOALA PRIMARA RUDARIE,SCHITU GOLEŞTI,,,
,1962101117,1961103743,516023,83561,83570,1962101117,HARGHITA,,,21,"GRĂDINIȚA ""CSODAVILÁG"" GHEORGHENI",GRADINITA CSODAVILAG GHEORGHENI,GHEORGHENI,,KOSSUTH LAJOS,
,3962104219,3961101008,,177655,177682,3962104219,VRANCEA,,,1,GRADINITA CU PROGRAM NORMAL COROTENI,GRADINITA CU PROGRAM NORMAL COROTENI,COROTENI,,Principala,
32363047,4061100348,,768406,179132,179178,4061100348,MUNICIPIUL BUCUREŞTI,,,8,Școala Gimnazială nr. 165,SCOALA GIMNAZIALA NR 165,BUCUREŞTI SECTORUL 4,,Slătioara,
,1762103773,1761101328,,75356,75409,1762103773,GALAŢI,,,,"SCOALA GIMNAZIALA ""STROE S. BELLOESCU"", SAT PLESA, COMUNA BERESTI-MERIA",SCOALA GIMNAZIALA STROE S BELLOESCU SAT PLESA COMUNA BERESTI MERIA,PLEŞA,,,
18111494,1261104777,,120439160,57314,57323,1261104777,CLUJ,,,101,"ȘCOALA GIMNAZIALĂ CÂȚCĂU, COM. CÂȚCĂU",SCOALA GIMNAZIALA CATCAU COM CATCAU,CÂŢCĂU,,,
,3462100385,3461101368,,152172,152225,3462100385,TELEORMAN,,,,ȘCOALA GIMNAZIALĂ NR. 2 VALEA CIREȘULUI,SCOALA GIMNAZIALA NR 2 VALEA CIRESULUI,VALEA CIREŞULUI,,,
,0462104302,0461108428,,22718,22727,0462104302,BACĂU,,,,GRADINITA CU PROGRAM NORMAL FAGET(MAG),GRADINITA CU PROGRAM NORMAL FAGET(MAG),FĂGET,,,
4299739,1061104803,,412966,44818,44827,1061104803,BUZĂU,,,,"COLEGIUL NAŢIONAL ""MIHAI EMINESCU"" MUNICIPIUL BUZĂU",COLEGIUL NATIONAL MIHAI EMINESCU MUNICIPIUL BUZAU,BUZĂU,,,
,3362107724,3361103082,,146584,146593,3362107724,SUCEAVA,,,34,SCOALA PRIMARA BOURENI,SCOALA PRIMARA BOURENI,GURA HUMORULUI,,BOURENI,
,2062100285,2061100579,,91624,91660,2062100285,HUNEDOARA,,,,ȘCOALA PRIMARĂ PĂCLIȘA,SCOALA PRIMARA PACLISA,PĂCLIŞA,,,
33556917,2161101149,,211155826,92701,92710,2161101149,IALOMIŢA,,,15,"ŞCOALA GIMNAZIALĂ ""DIMITRIE CANTEMIR"" FETESTI",SCOALA GIMNAZIALA DIMITRIE CANTEMIR FETESTI,FETEŞTI,,VASILE LUPU,
3372378,0761104528,,391710,35946,35955,0761104528,BOTOŞANI,,,20A,"LICEUL ""DIMITRIE CANTEMIR"" DARABANI",LICEUL DIMITRIE CANTEMIR DARABANI,DARABANI,,T UDOR VLADIMIRESCU,
,1562105222,1561101218,,68921,68930,1562105222,DÂMBOVIŢA,,,167,GRĂDINIȚA CU PROGRAM NORMAL TĂTĂRANI,GRADINITA CU PROGRAM NORMAL TATARANI,TĂTĂRANI,,PRINCIPALĂ,
,1062100523,1061104572,,45003,45076,1062100523,BUZĂU,,,,GRĂDINIŢA CU PROGRAM NORMAL SAT IZVORUL DULCE COMUNA BECENI,GRADINITA CU PROGRAM NORMAL SAT IZVORUL DULCE COMUNA BECENI,IZVORU DULCE,,,
,0262103195,0261100355,,12509,12536,0262103195,ARAD,,,,GRADINITA PN ARANEAG,GRADINITA PN ARANEAG,ARĂNEAG,,,
32113024,4061102395,,768389,179132,179196,4061102395,MUNICIPIUL BUCUREŞTI,44.4616839,26.0455423270098,54,Şcoala Gimnazială nr. 163,SCOALA GIMNAZIALA NR 163,BUCUREŞTI SECTORUL 6,259188778,Giuleşti,
,2462102349,2461101497,,107546,107564,2462102349,MARAMUREŞ,,,,SCOALA GIMNAZIALA CORNESTI,SCOALA GIMNAZIALA CORNESTI,CORNEŞTI,,,
30240129,2961207616,,,130534,130543,2961207616,PRAHOVA,,,76,"ŞCOALA GIMNAZIALĂ ''EXCELSIS"" , MUNICIPIUL PLOIEŞTI",SCOALA GIMNAZIALA EXCELSIS MUNICIPIUL PLOIESTI,PLOIEŞTI,,BULEVARDUL BUCUREŞTI,
29051355,0261101112,,317788,9360,9379,0261101112,ARAD,,,,"SCOALA GIMNAZIALA ""VIRGIL IOVANAS"" SOFRONEA",SCOALA GIMNAZIALA VIRGIL IOVANAS SOFRONEA,ŞOFRONEA,,,
30564079,4061206108,,407958830,179132,179141,4061206108,MUNICIPIUL BUCUREŞTI,44.468009,26.0733942,65,"Grădiniţa ""Avenor""",GRADINITA AVENOR,BUCUREŞTI SECTORUL 1,4686435876,Constantinescu Alexandru,
,2662106237,2661104226,,116796,116821,2662106237,MUREŞ,,,41,GRĂDINIȚA CU PROGRAM NORMAL CĂLIMĂNEŞTI,GRADINITA CU PROGRAM NORMAL CALIMANESTI,CĂLIMĂNEŞTI,,PRINCIPALA,
,0362101879,0361103863,,19999,20000,0362101879,ARGEŞ,,,255,ȘCOALA PRIMARĂ VLĂDEȘTII DE SUS,SCOALA PRIMARA VLADESTII DE SUS,VLĂDEŞTI,,,
,3562105375,3561101905,,156473,156516,3562105375,TIMIŞ,,,354-355,SCOALA PRIMARA TIPARI COM.COSTEIU,SCOALA PRIMARA TIPARI COM COSTEIU,ŢIPARI,,,
,2662107541,2661108438,,120511,118156,2662107541,MUREŞ,,,43,ȘCOALA PRIMARĂ EREMIENI,SCOALA PRIMARA EREMIENI,EREMIENI,,PRINCIPALA,
29027403,0261100536,,317518,9262,9271,0261100536,ARAD,46.17405805,21.3104286360089,40-42,"SCOALA GIMNAZIALA ""MIHAI EMINESCU"" ARAD",SCOALA GIMNAZIALA MIHAI EMINESCU ARAD,ARAD,305828704,Episcopiei,
4316325,4061100981,,781410,179132,179169,4061100981,MUNICIPIUL BUCUREŞTI,,,1,"Liceul Teoretic ""Benjamin Franklin""",LICEUL TEORETIC BENJAMIN FRANKLIN,BUCUREŞTI SECTORUL 3,,"Tattarescu Gheorghe, pictor",
4316678,4061101082,,244149,179132,179141,4061101082,MUNICIPIUL BUCUREŞTI,44.4525598,26.0584595,10,"Colegiul Tehnic ""Dinicu Golescu""",COLEGIUL TEHNIC DINICU GOLESCU,BUCUREŞTI SECTORUL 1,2382213456,Giuleşti,
,1462103158,1461100553,460638,63633,63651,1462103158,COVASNA,,,55,Școala Gimnazială Lădăuți,SCOALA GIMNAZIALA LADAUTI,LĂDĂUŢI,,Principală,
4722480,1261103197,,121181148,54975,54984,1261103197,CLUJ,46.7706068,23.5847830549323,19,"COLEGIUL ECONOMIC ""IULIAN POP"" CLUJ-NAPOCA",COLEGIUL ECONOMIC IULIAN POP CLUJ NAPOCA,CLUJ-NAPOCA,259072144,Isac Emil,
,1462103407,1461100675,459093,63580,63599,1462103407,COVASNA,,,100,Grădinița cu Program Normal Floroaia Mică,GRADINITA CU PROGRAM NORMAL FLOROAIA MICA,ÎNTORSURA BUZĂULUI,,Floroaia Mică,
,2662101915,2661104027,,118281,118352,2662101915,MUREŞ,,,50,GRĂDINIȚA CU PROGRAM NORMAL TÂMPA,GRADINITA CU PROGRAM NORMAL TAMPA,TÂMPA,,principala,
,3262101014,3261101154,320671419,143450,143469,3262101014,SIBIU,,,,GRADINITA CU PROGRAM NORMAL NR 4 SIBIU,GRADINITA CU PROGRAM NORMAL NR 4 SIBIU,SIBIU,,STR.CRISANEI NR 22,
29139563 ,1561100764,,1033432,65342,65351,1561100764,DÂMBOVIŢA,,,1,GRĂDINIȚA CU PROGRAM PRELUNGIT NR.15 TÂRGOVIȘTE,GRADINITA CU PROGRAM PRELUNGIT NR 15 TARGOVISTE,TÂRGOVIŞTE,,Cair George,
,1262100452,1261103559,120441321,57350,57430,1262100452,CLUJ,,,,"ȘCOALA PRIMARĂ STRAJA, COM. COJOCNA",SCOALA PRIMARA STRAJA COM COJOCNA,STRAJA,,,
,0562103783,0561108571,502280,30648,30693,0562103783,BIHOR,,,21,ȘCOALA PRIMARĂ NR.1 SĂLIȘTE DE POMEZEU,SCOALA PRIMARA NR 1 SALISTE DE POMEZEU,SALIŞTE DE POMEZEU,,"sat Sălişte de Pomezeu, nr.21",
4122400,0361100263,,333919,16944,16953,0361100263,ARGEŞ,,,297,"ȘCOALA GIMNAZIALĂ ""GENERAL C-TIN CRISTESCU"" LUNCA CORBULUI",SCOALA GIMNAZIALA GENERAL C TIN CRISTESCU LUNCA CORBULUI,LUNCA CORBULUI,,PRINCIPALĂ,
,0362105716,0361104656,,17049,17058,0362105716,ARGEŞ,,,,ŞCOALA PRIMARA TUFANU,SCOALA PRIMARA TUFANU,MĂLURENI,,,
23443996,3961205512,,398372928,174744,174753,3961205512,VRANCEA,,,17,"SCOALA PRIMARA ""REGATUL POVESTILOR"" FOCSANI",SCOALA PRIMARA REGATUL POVESTILOR FOCSANI,FOCŞANI,,Mitropolit Varlaam,
,0462105176,0461104641,,23289,23298,0462105176,BACĂU,,,,SCOALA PRIMARA NR 2 LIVEZI,SCOALA PRIMARA NR 2 LIVEZI,LIVEZI,,,
,0662103524,0661101463,373732,35054,35063,0662103524,BISTRIŢA-NĂSĂUD,,,818A,GRĂDINIȚA CU PROGRAM NORMAL ȘI PRELUNGIT NR.1 TELCIU,GRADINITA CU PROGRAM NORMAL SI PRELUNGIT NR 1 TELCIU,TELCIU,,Principală,
,3762101549,3761104127,,164829,164883,3762101549,VASLUI,,,,"GRĂDINIȚA CU PROGRAM NORMAL, SAT ȚUȚCANI",GRADINITA CU PROGRAM NORMAL SAT TUTCANI,ŢUŢCANI,,,
4593350,0561100979,,1224029,26564,26573,0561100979,BIHOR,,,60,"COLEGIUL TEHNIC ""ANDREI ȘAGUNA"" ORADEA",COLEGIUL TEHNIC ANDREI SAGUNA ORADEA,ORADEA,,Bdul Decebal,
,2762103341,2761102272,620953,123790,123825,2762103341,NEAMŢ,,,39,"ȘCOALA GIMNAZIALĂ ""CONSTANTIN ROMANESCU"", SAT DREPTU, COMUNA POIANA TEIULUI",SCOALA GIMNAZIALA CONSTANTIN ROMANESCU SAT DREPTU COMUNA POIANA TEIULUI,DREPTU,,PRINCIPALĂ,
,2762103834,2761102738,616196,121652,121689,2762103834,NEAMŢ,,,,"ȘCOALA GIMNAZIALĂ ""MIHAI PETRESCU"", SAT MĂDEI, COMUNA BORCA",SCOALA GIMNAZIALA MIHAI PETRESCU SAT MADEI COMUNA BORCA,MĂDEI,,,
19142340,5261101434,,569355,103238,103247,5261101434,GIURGIU,,,,ȘCOALA GIMNAZIALĂ NR.1 GHIMPAȚI,SCOALA GIMNAZIALA NR 1 GHIMPATI,GHIMPAŢI,,,
,3362101329,3361102954,,151512,146851,3362101329,SUCEAVA,,,,GRADINITA CU PROGRAM NORMAL HANTESTI VALE,GRADINITA CU PROGRAM NORMAL HANTESTI VALE,HĂNŢEŞTI,,,
,0562102416,0561101433,1193684,31609,31627,0562102416,BIHOR,,,,GRĂDINIȚA CU PROGRAM NORMAL NR.3 MIERAG,GRADINITA CU PROGRAM NORMAL NR 3 MIERAG,MIERAG,,,
3896631,3061102027,,655350,136483,136492,3061102027,SATU MARE,,,8,CENTRUL ȘCOLAR PENTRU EDUCAȚIE INCLUZIVĂ SATU MARE,CENTRUL SCOLAR PENTRU EDUCATIE INCLUZIVA SATU MARE,SATU MARE,,ALEXANDRU IOAN CUZA,
16648310,3961205489,,398372926,174744,174753,3961205489,VRANCEA,,,20,"CENTRUL DE ZI ""MARIA-AJUTORUL COPIILOR"" FOCSANI",CENTRUL DE ZI MARIA AJUTORUL COPIILOR FOCSANI,FOCŞANI,,Predeal,
,3762106111,3761104769,,162149,162158,3762106111,VASLUI,,,,"GRĂDINIȚA CU PROGRAM NORMAL, SAT ARSURA",GRADINITA CU PROGRAM NORMAL SAT ARSURA,ARSURA,,,
,0562107172,0561108639,1161849,30568,30586,0562107172,BIHOR,,,32,GRĂDINIȚA CU PROGRAM NORMAL NR.2 BISTRA,GRADINITA CU PROGRAM NORMAL NR 2 BISTRA,BISTRA,,Principala,
,0462106652,0461107323,,22665,22709,0462106652,BACĂU,,,,SCOALA PRIMARA POPESTI,SCOALA PRIMARA POPESTI,POPEŞTI,,,
18028608,1261103889,,120440080,59434,59443,1261103889,CLUJ,,,308,"ȘCOALA GIMNAZIALĂ ""ADY ENDRE"" SÂNCRAIU, COM. SÂNCRAIU",SCOALA GIMNAZIALA ADY ENDRE SANCRAIU COM SANCRAIU,SÂNCRAIU,,,
,1862103093,1861104646,,77910,77929,1862103093,GORJ,,,,SCOALA GIMNAZIALA BALESTI,SCOALA GIMNAZIALA BALESTI,BĂLEŞTI,,,
28129758,1061106375,,414952,49439,49448,1061106375,BUZĂU,,,,ŞCOALA GIMNAZIALĂ COMUNA SCUTELNICI,SCOALA GIMNAZIALA COMUNA SCUTELNICI,SCUTELNICI,,,
12848706,0161103007,,307238,7197,7204,0161103007,ALBA,,,194,SCOALA GIMNAZIALA SCARISOARA,SCOALA GIMNAZIALA SCARISOARA,SCĂRIŞOARA,,PRINCIPALA,
,3362106447,3361103901,,148382,148391,3362106447,SUCEAVA,,,,GRADINITA CU PROGRAM NORMAL NR. 2 DRAGUSENI,GRADINITA CU PROGRAM NORMAL NR 2 DRAGUSENI,DRĂGUŞENI,,,
28097958,3961105202,,759510,178901,178297,3961105202,VRANCEA,,,8,"SCOALA GIMNAZIALA ""PROFESOR DOCTOR GENERAL GHEORGHE V. ZAHARIA"" POPESTI",SCOALA GIMNAZIALA PROFESOR DOCTOR GENERAL GHEORGHE V ZAHARIA POPESTI,POPEŞTI,,Gheorghe V. Zaharia,
,1062105926,1061106244,,45673,45682,1062105926,BUZĂU,,,,GRĂDINIŢA CU PROGRAM NORMAL SAT PIETROIU COMUNA BUDA,GRADINITA CU PROGRAM NORMAL SAT PIETROIU COMUNA BUDA,BUDA,,,
15971192,5261100935,,568442,100521,100530,5261100935,GIURGIU,,,,"SCOALA GIMNAZIALA ""ACADEMICIAN MARIN VOICULESCU""",SCOALA GIMNAZIALA ACADEMICIAN MARIN VOICULESCU,GIURGIU,,,
,2062101223,2061103347,,89561,89589,2062101223,HUNEDOARA,,,,ŞCOALA PRIMARĂ AUREL VLAICU,SCOALA PRIMARA AUREL VLAICU,AUREL VLAICU,,,
23416355,5161100611,,541731,92569,92578,5161100611,CĂLĂRAŞI,,,,"GRADINITA CU PROGRAM PRELUNGIT ""VOINICEL"" CALARASI",GRADINITA CU PROGRAM PRELUNGIT VOINICEL CALARASI,CĂLĂRAŞI,,,
14110542,3361108024,,688400,148612,148621,3361108024,SUCEAVA,,,,SCOALA GIMNAZIALA FRASIN,SCOALA GIMNAZIALA FRASIN,FRASIN,,,
14673724,3361200249,,6779988,146744,146753,3361200249,SUCEAVA,,,8,"LICEUL TEHNOLOGIC ""TARA DE SUS"" VATRA DORNEI",LICEUL TEHNOLOGIC TARA DE SUS VATRA DORNEI,VATRA DORNEI,,OBORULUI,
29091716,3561101543,,711386,155243,155252,3561101543,TIMIŞ,,,24,"SCOALA GIMNAZIALA NR.19 ""AVRAM IANCU"" MUN.TIMISOARA",SCOALA GIMNAZIALA NR 19 AVRAM IANCU MUN TIMISOARA,TIMIŞOARA,,B-dul Cetatii,
29187544,0461108419,,341234,20297,20304,0461108419,BACĂU,,,,"SCOALA GIMNAZIALA ""MIRON COSTIN"" BACAU",SCOALA GIMNAZIALA MIRON COSTIN BACAU,BACĂU,,MIRON COSTIN NR 64,
,2262102239,2261104494,553851,100004,100031,2262102239,IAŞI,,,,"ȘCOALA GIMNAZIALĂ NR.1, ICUȘENI",SCOALA GIMNAZIALA NR 1 ICUSENI,ICUŞENI,,,
,0162104591,0161103509,,1794,1856,0162104591,ALBA,,,,GRADINITA CU PROGRAM NORMAL RAZBOIENI,GRADINITA CU PROGRAM NORMAL RAZBOIENI,RĂZBOIENI-CETATE,,PRINCIPALA,
17739688,3261101941,,320674198,144054,144063,3261101941,SIBIU,,,37,SCOALA GIMNAZIALA AVRIG,SCOALA GIMNAZIALA AVRIG,AVRIG,,GH.LAZAR,
,0562106881,0561100839,358304,27329,27338,0562106881,BIHOR,,,54,GRĂDINIŢA CU PROGRAM NORMAL NR.1 BALC,GRADINITA CU PROGRAM NORMAL NR 1 BALC,BALC,,Petofi Sandor,
,2062102753,2061100597,,90878,90921,2062102753,HUNEDOARA,,,43,ȘCOALA PRIMARĂ OSTROV,SCOALA PRIMARA OSTROV,OSTROV,,Principala,
,2262103014,2261105251,549501,97241,97269,2262103014,IAŞI,,,,"ȘCOALA PRIMARĂ, CĂRBUNARI",SCOALA PRIMARA CARBUNARI,CĂRBUNARI,,,
,3462102957,3461100521,,153277,153286,3462102957,TELEORMAN,,,46,GRĂDINIȚA CU PROGRAM NORMAL NR. 1 MĂLDĂENI,GRADINITA CU PROGRAM NORMAL NR 1 MALDAENI,MĂLDĂENI,,PRINCIPALĂ,
4318288,0361105033,,332509,14940,14959,0361105033,ARGEŞ,,,82,ȘCOALA GIMNAZIALĂ VULPEȘTI-BUZOIEȘTI,SCOALA GIMNAZIALA VULPESTI BUZOIESTI,VULPEŞTI,,GHEORGHE VULPESCU,
4686468,3061101718,,650075,136483,136492,3061101718,SATU MARE,,,5,GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 5 SATU MARE,GRADINITA CU PROGRAM PRELUNGIT NR 5 SATU MARE,SATU MARE,,TISA,
28996962,2061100118,,528820,89954,90048,2061100118,HUNEDOARA,,,5,ȘCOALA GIMNAZIALĂ OHABA,SCOALA GIMNAZIALA OHABA,OHABA,,Principala,
,5162101761,5161100638,,102838,102865,5162101761,CĂLĂRAŞI,,,,GRADINITA PROGRAM NORMAL NR.2 DANESTI,GRADINITA PROGRAM NORMAL NR 2 DANESTI,DĂNEŞTI,,,
,3962103385,3961100744,,175787,175858,3962103385,VRANCEA,,,1,GRADINITA CU PROGRAM NORMAL RADACINESTI,GRADINITA CU PROGRAM NORMAL RADACINESTI,RĂDĂCINEŞTI,,Principala,
,0962102939,0961102057,405224,43493,43554,0962102939,BRĂILA,,,,ŞCOALA GIMNAZIALĂ ŢĂCĂU,SCOALA GIMNAZIALA TACAU,ŢĂCĂU,,,
23019967,2761201979,,23019967,120726,120735,2761201979,NEAMŢ,,,,"GRĂDINIȚA PARTICULARĂ CU PROGRAM PRELUNGIT ""HAPPY LAND"", MUNICIPIUL PIATRA-NEAMȚ",GRADINITA PARTICULARA CU PROGRAM PRELUNGIT HAPPY LAND MUNICIPIUL PIATRA NEAMT,PIATRA-NEAMŢ,,,
29075869,1761100942,,777964,75098,75105,1761100942,GALAŢI,,,33,"GRADINITA CU PROGRAM PRELUNGIT NR.36, LOCALITATEA GALATI",GRADINITA CU PROGRAM PRELUNGIT NR 36 LOCALITATEA GALATI,GALAŢI,,REGIMENT 11 SIRET,
,0562107213,0561108639,1193191,30568,30611,0562107213,BIHOR,,,73,GRĂDINIȚA CU PROGRAM NORMAL NR.4 VARVIZ,GRADINITA CU PROGRAM NORMAL NR 4 VARVIZ,VARVIZ,,str.Principală,
18355189,4061206795,,405333323,179132,179196,4061206795,MUNICIPIUL BUCUREŞTI,44.4398646,26.0717477,130,"Grădiniţa ""Discover-Me""",GRADINITA DISCOVER ME,BUCUREŞTI SECTORUL 6,4621886567,Noica Constantin,
3025002,0561208967,,,26564,26573,0561208967,BIHOR,,,2H,"GRĂDINIȚA ""ȚARA PITICILOR"" ORADEA",GRADINITA TARA PITICILOR ORADEA,ORADEA,,Cimbrului,
,0462101326,0461104894,,22380,22424,0462101326,BACĂU,,,,GRADINITA CU PROGRAM NORMAL HAGHIAC,GRADINITA CU PROGRAM NORMAL HAGHIAC,HĂGHIAC,,,
18001408,1261103586,,120439847,58856,58865,1261103586,CLUJ,,,89,"ȘCOALA GIMNAZIALĂ PANTICEU, COM. PANTICEU",SCOALA GIMNAZIALA PANTICEU COM PANTICEU,PANTICEU,,,
3694942,2461100709,,864315,106318,106327,2461100709,MARAMUREŞ,,,45,"COLEGIUL ECONOMIC ""NICOLAE TITULESCU"" BAIA MARE",COLEGIUL ECONOMIC NICOLAE TITULESCU BAIA MARE,BAIA MARE,,PROGRESULUI,
4659404,4061102124,,796738,179132,179150,4061102124,MUNICIPIUL BUCUREŞTI,44.4586143,26.1354758,57,Grădiniţa nr. 276,GRADINITA NR 276,BUCUREŞTI SECTORUL 2,2572557512,Corabia,
,0762100723,0761105357,,39836,39845,0762100723,BOTOŞANI,,,,GRADINITA CU PROGRAM NORMAL NR. 1 VORNICENI,GRADINITA CU PROGRAM NORMAL NR 1 VORNICENI,VORNICENI,,,
,1662100315,1661106063,,72604,72613,1662100315,DOLJ,,,,GRADINITA CU PROGRAM NORMAL GOGOSU,GRADINITA CU PROGRAM NORMAL GOGOSU,GOGOŞU,,,
,0662101938,0661101056,375027,33765,33836,0662101938,BISTRIŢA-NĂSĂUD,,,149,ȘCOALA PRIMARĂ SÎNTIOANA,SCOALA PRIMARA SINTIOANA,SÂNTIOANA,,Principală,
,0762102372,0761105298,,37958,38054,0762102372,BOTOŞANI,,,,GRADINITA CU PROGRAM NORMAL NR 5 ZAHORENI,GRADINITA CU PROGRAM NORMAL NR 5 ZAHORENI,ZAHORENI,,ZAHORENI,
,2662106499,2661104737,,114514,114523,2662106499,MUREŞ,,,9,GRĂDINIŢA CU PROGRAM NORMAL NR.3 SIGHIŞOARA,GRADINITA CU PROGRAM NORMAL NR 3 SIGHISOARA,SIGHIŞOARA,,HORIA,
,1162101907,1161103416,422038,53167,53176,1162101907,CARAŞ-SEVERIN,,,,GRĂDINIŢA CU PROGRAM NORMAL LUPAC,GRADINITA CU PROGRAM NORMAL LUPAC,LUPAC,,,
18994999,3461100806,,698388,151736,151745,3461100806,TELEORMAN,,,60,ȘCOALA GIMNAZIALĂ NR. 1 ISLAZ,SCOALA GIMNAZIALA NR 1 ISLAZ,ISLAZ,,DUNĂRII,
