COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,osm,str,wikidata
9841260,1871104606,,510641,77812,77821,1871104606,GORJ,,,28,PALATUL COPIILOR TG-JIU,PALATUL COPIILOR TG JIU,TÂRGU JIU,,STR SIRETULUI,
28053129,1361100672,,130452409,61210,61229,1361100672,CONSTANŢA,,,43,ŞCOALA GIMNAZIALĂ NR. 1 CHIRNOGENI,SCOALA GIMNAZIALA NR 1 CHIRNOGENI,CHIRNOGENI,,ŞOS. NEGRU VODĂ,
26702718,0861101944,,1144293,40198,40205,0861101944,BRAŞOV,,,,Grădinița cu Program Prelungit 'Junior' Nr. 26 Brașov,GRADINITA CU PROGRAM PRELUNGIT JUNIOR NR 26 BRASOV,BRAŞOV,,,
,0262100233,0261100622,,9459,9468,0262100233,ARAD,,,,"GRADINITA PP ""PADURENI"" CHISINEU CRIS",GRADINITA PP PADURENI CHISINEU CRIS,CHIŞINEU-CRIŞ,,,
,2762101081,2761102679,619239,123013,123022,2762101081,NEAMŢ,,,1,"ȘCOALA GIMNAZIALĂ, COMUNA ICUŞEŞTI",SCOALA GIMNAZIALA COMUNA ICUSESTI,ICUŞEŞTI,,PRINCIPALĂ,
29165406,2961101951,,641206,131443,131452,2961101951,PRAHOVA,,,20C,"GRĂDINIȚA CU PROGRAM NORMAL ȘI PROGRAM PRELUNGIT ""FRUNZA DE STEJAR"", ORAȘUL PLOPENI",GRADINITA CU PROGRAM NORMAL SI PROGRAM PRELUNGIT FRUNZA DE STEJAR ORASUL PLOPENI,PLOPENI,,REPUBLICII,
,2262106935,2261105821,,98220,98239,2262106935,IAŞI,,,,"GRĂDINIȚA CU PROGRAM NORMAL, BOURENI",GRADINITA CU PROGRAM NORMAL BOURENI,MOŢCA,,,
,3162102808,3161100792,,142373,142408,3162102808,SĂLAJ,,,65,GRĂDINIȚA CU PROGRAM NORMAL GOSTILA,GRADINITA CU PROGRAM NORMAL GOSTILA,GOSTILA,,Principală,
14998025,1661105383,,481371,74322,74331,1661105383,DOLJ,,,,SCOALA GIMNAZIALA TEASC,SCOALA GIMNAZIALA TEASC,TEASC,,,
,2062101761,2061103139,,87059,87068,2062101761,HUNEDOARA,,,1,ŞCOALA GIMNAZIALĂ NR. 1 LUPENI,SCOALA GIMNAZIALA NR 1 LUPENI,LUPENI,,Tudor Vladimirescu,
29027837,3861105289,,740820,173533,173542,3861105289,VÂLCEA,,,,SCOALA GIMNAZIALA CAPITAN MARASANU STROESTI,SCOALA GIMNAZIALA CAPITAN MARASANU STROESTI,STROEŞTI,,,
33558748,2161101167,,210561951,100852,100861,2161101167,IALOMIŢA,,,3,"ŞCOALA GIMNAZIALĂ ""ALEXANDRU ALDEA VOIEVOD"" ALEXENI",SCOALA GIMNAZIALA ALEXANDRU ALDEA VOIEVOD ALEXENI,ALEXENI,,ȘCOLII,
,2662107401,2661105394,,114319,114328,2662107401,MUREŞ,,,1,"GRĂDINIȚA CU PROGRAM PRELUNGIT ""PARADISUL COPILĂRIEI"" TÎRGU MUREȘ",GRADINITA CU PROGRAM PRELUNGIT PARADISUL COPILARIEI TIRGU MURES,TÎRGU MUREŞ,,PROGRESULUI,
