COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,osm,safe,str,wikidata
29027837,3861105289,,740820,173533,173542,3861105289,VÂLCEA,,,,SCOALA GIMNAZIALA CAPITAN MARASANU STROESTI,SCOALA GENERALA CAPITAN MARASANU,STROEŞTI,,0,,
,2662107401,2661105394,,114319,114328,2662107401,MUREŞ,,,1,"GRĂDINIȚA CU PROGRAM PRELUNGIT ""PARADISUL COPILĂRIEI"" TÎRGU MUREȘ",GRADINITA CU PROGRAM PRELUNGIT PARADISUL COPILARIEI,TÎRGU MUREŞ,,0,PROGRESULUI,
5593758,1261102825,,121181071,54975,54984,1261102825,CLUJ,46.7620090036024,23.5524136144153,3,"COLEGIUL TEHNIC ""NAPOCA"" CLUJ-NAPOCA",COLEGIUL TEHNIC NAPOCA,CLUJ-NAPOCA,,1,Taberei,
29033960,0261100102,,1185871,9262,9271,0261100102,ARAD,46.1764503,21.3600791798389,248,"GRADINITA PP ""CASUTA PITICILOR"" ARAD",GRADINITA CU PROGRAMRAM PRELUNGIT CASUTA PITICILOR,ARAD,200647335,0,Calea Radnei,
28996253,2061100787,,529070,90262,90271,2061100787,HUNEDOARA,45.8136742670108,23.1289621815301,,ȘCOALA PRIMARĂ MĂRTINEȘTI,SCOALA PRIMARA,MĂRTINEŞTI,,1,,
,0552105916,0571101402,500622,26699,26706,0552105916,BIHOR,,,7A,CLUBUL COPIILOR ȘI ELEVILOR ALEȘD,CLUBUL COPIILOR SI ELEVILOR,ALEŞD,,0,Cart. Soimu,
,2662101838,2661104027,,118281,118325,2662101838,MUREŞ,,,80,"ȘCOALA PRIMARĂ ""IOAN IACOB"" LĂURENI",SCOALA PRIMARA IOAN IACOB,LĂURENI,,0,PRINCIPALA,
4568039,3461100091,,832178,151790,151807,3461100091,TELEORMAN,43.9755079545859,25.3225654213176,69,"LICEUL TEHNOLOGIC ""NICOLAE BĂLCESCU"" ALEXANDRIA",LICEUL TEHNOLOGIC NICOLAE BALCESCU,ALEXANDRIA,,1,LIBERTĂȚII,
28987514,2561101939,,590495,112879,112888,2561101939,MEHEDINŢI,,,240,"ŞCOALA GIMNAZIALĂ ""CONSTANTIN TRUŞCĂ"" PĂTULELE",SCOALA GENERALA CONSTANTIN TRUSCA,PĂTULELE,,0,ZILELE RECUNOȘTINȚEI,
,2762103409,2761101981,,123371,123406,2762103409,NEAMŢ,47.1588717643668,26.5709640590226,43,"ȘCOALA GIMNAZIALĂ NR. 1, SAT RĂDENI, COMUNA PĂSTRĂVENI",SCOALA GENERALA NR 1 COMUNA PASTRAVENI,RĂDENI,,0,PRINCIPALĂ,
,2262101672,2261102732,,96593,96619,2262101672,IAŞI,,,,"GRĂDINIȚA CU PROGRAM NORMAL, PODOLENII DE JOS",GRADINITA CU PROGRAM NORMAL,PODOLENII DE JOS,,0,,
,2562100169,2561101704,,111097,111177,2562100169,MEHEDINŢI,,,58,SCOALA PRIMARA POIANA,SCOALA PRIMARA,POIANA,,0,PRINCIPALĂ,
,3762101169,3761104882,,166529,166547,3762101169,VASLUI,46.1610857782932,27.5938686529955,,"ȘCOALA GIMNAZIALĂ, SAT BĂDEANA",SCOALA GENERALA,BĂDEANA,,1,,
,3162104204,3161100815,,140958,140985,3162104204,SĂLAJ,,,27,ȘCOALA PRIMARĂ DOBA,SCOALA PRIMARA,DOBA,,0,Principală,
,1462103321,1461100526,458831,64318,64327,1462103321,COVASNA,,,725,Grădinița cu Program Prelungit Ghelința,GRADINITA CU PROGRAM PRELUNGIT,GHELINŢA,,0,Principală,
,2862102664,2861104553,,127983,128043,2862102664,OLT,,,,GRADINITA CU PROGRAM NORMAL TOMENI,GRADINITA CU PROGRAM NORMAL,TOMENI,,0,,
,3062100527,3061101424,,136768,136786,3062100527,SATU MARE,,,201,ȘCOALA PRIMARĂ DINDEȘTI,SCOALA PRIMARA,DINDEŞTI,,0,SCOLII,
,0462106738,0461108134,,26338,20732,0462106738,BACĂU,46.2013055529811,26.7836080058181,1,SCOALA GIMNAZIALA RACAUTI,SCOALA GENERALA,RĂCĂUŢI,,1,PRINCIPALA,
4165699,3661100364,,718437,159730,159749,3661100364,TULCEA,45.2424335,28.1348188768752,19,"LICEUL TEORETIC ""GHEORGHE MUNTEANU MURGOCI"" MĂCIN",LICEUL TEORETIC GHEORGHE MUNTEANU MURGOCI,MĂCIN,297509843,0,Cetății,
,1362104079,1361101171,,60945,60963,1362104079,CONSTANŢA,43.8393713215296,28.4642031096364,,ŞCOALA PRIMARĂ NR. 2 ARSA,SCOALA PRIMARA NR 2,ARSA,,1,,
25110165,0761104487,,389195,37459,37468,0761104487,BOTOŞANI,,,,SCOALA GIMNAZIALA NR.1 GORBANESTI,SCOALA GENERALA NR 1,GORBĂNEŞTI,,0,GORBANESTI,
24245202,0861101496,,394528,41088,41097,0861101496,BRAŞOV,,,,Grădinița cu Program Normal Nr. 1 Hărman,GRADINITA CU PROGRAM NORMAL NR 1,HĂRMAN,,0,STEFAN CEL MARE 294,
,3362101225,3361103227,,149753,149762,3362101225,SUCEAVA,,,,GRADINITA CU PROGRAM NORMAL PALTINOASA,GRADINITA CU PROGRAM NORMAL,PĂLTINOASA,,0,,
,1062103214,1061104165,,48325,48414,1062103214,BUZĂU,,,,GRĂDINIŢA CU PROGRAM NORMAL SAT MUSCEL ORAŞ PĂTÂRLAGELE,GRADINITA CU PROGRAM NORMAL ORAS PATARLAGELE,MUŞCEL,,0,,
,1662100188,1661101854,,74411,74475,1662100188,DOLJ,,,,SCOALA PRIMARA TARTAL,SCOALA PRIMARA,ŢĂRŢĂL,,0,,
,0162104478,0161103111,,3039,3164,0162104478,ALBA,,,,GRADINITA CU PROGRAM NORMAL GIRDE,GRADINITA CU PROGRAM NORMAL GIRDE,GÂRDE,,0,,
,3762102898,3761104602,,164393,164446,3762102898,VASLUI,46.655829626388,27.409129618187,,"GRĂDINIȚA CU PROGRAM NORMAL, SAT BUSCATA",GRADINITA CU PROGRAM NORMAL,BUSCATA,,1,,
,1662101596,1661104346,,72506,72515,1662101596,DOLJ,,,,GRADINITA CU PROGRAM NORMAL GIUBEGA,GRADINITA CU PROGRAM NORMAL,GIUBEGA,,0,,
,0762102128,0761104781,,35731,35740,0762102128,BOTOŞANI,,,11,GRADINITA CU PROGRAM PRELUNGIT NR. 25 BOTOSANI,GRADINITA CU PROGRAM PRELUNGIT NR 25,BOTOŞANI,,0,ARMEANA,
23141440,0461108003,,351916,26029,26038,0461108003,BACĂU,46.1201402010212,27.0619003179961,,SCOALA GIMNAZIALA URECHESTI,SCOALA GENERALA,URECHEŞTI,,1,,
,2862103647,2861100739,,125542,125551,2862103647,OLT,43.7740199259589,24.51304831419,,"SCOALA GIMNAZIALA ""DUMITRU BUZDUN"" CORABIA",SCOALA GENERALA DUMITRU BUZDUN,CORABIA,,1,,
,2462103662,2461100157,,108473,108482,2462103662,MARAMUREŞ,,,,SCOALA GIMNAZIALA NR. 3 POIENILE DE SUB MUNTE,SCOALA GENERALA NR 3,POIENILE DE SUB MUNTE,,0,CVASNITA,
14007947,3961100423,,1124126,174744,174753,3961100423,VRANCEA,45.6987574082588,27.192697135201,8,"SCOALA GIMNAZIALA ""ANGHEL SALIGNY"" FOCSANI",SCOALA GENERALA ANGHEL SALIGNY,FOCŞANI,,1,Moldova,
,2062102034,2061100552,,89080,89115,2062102034,HUNEDOARA,45.9815232559455,22.4756408032095,,ŞCOALA PRIMARĂ GLODGHILEŞTI,SCOALA PRIMARA,GLODGHILEŞTI,,1,,
,0962102817,0961102437,406254,42968,42977,0962102817,BRĂILA,,,90,GRĂDINIŢA CU PROGRAM NORMAL CIOCILE,GRADINITA CU PROGRAM NORMAL,CIOCILE,,0,PRINCIPALA,
,3762105476,3761104267,,166315,166324,3762105476,VASLUI,,,,"GRĂDINIȚA CU PROGRAM NORMAL, SAT TĂTĂRĂNI",GRADINITA CU PROGRAM NORMAL,TĂTĂRĂNI,,0,,
17187273,1661106122,,481761,70316,70325,1661106122,DOLJ,,,,"SCOALA GIMNAZIALA ""AMZA PELLEA"" BAILESTI",SCOALA GENERALA AMZA PELLEA,BĂILEŞTI,,0,,
,3462102871,3461101332,,153696,153730,3462102871,TELEORMAN,,,121,GRĂDINIȚA CU PROGRAM NORMAL NR. 4 CĂTUNU,GRADINITA CU PROGRAM NORMAL NR 4,CĂTUNU,,0,ȘOS. PITEȘTI,
23104574,0461104962,,346038,22576,22585,0461104962,BACĂU,,,,SCOALA GIMNAZIALA FILIPESTI,SCOALA GENERALA,FILIPEŞTI,,0,,
29373628,0361100141,,966152,13169,13178,0361100141,ARGEŞ,44.8678263,24.86298875,10,"ȘCOALA GIMNAZIALĂ ""ALEXANDRU DAVILA"" PITEȘTI",SCOALA GENERALA ALEXANDRU DAVILA,PITEŞTI,136273416,0,FĂGĂRAȘ,
29028255,2661108447,,603199,116395,116420,2661108447,MUREŞ,46.4162273142652,24.2448021288236,53,ȘCOALA GIMNAZIALĂ ȘEULIA DE MUREȘ,SCOALA GENERALA,ŞEULIA DE MUREŞ,,1,PRINCIPALA,
19221940,3761104516,,1118713,161794,161801,3761104516,VASLUI,,,,"ȘCOALA GIMNAZIALĂ ""STROE S. BELLOESCU"", MUN. BÂRLAD",SCOALA GENERALA STROE S BELLOESCU,BÂRLAD,,0,,
,3362102556,3361102841,,146860,146879,3362102556,SUCEAVA,,,,GRADINITA CU PROGRAM NORMAL NR. 2 ARBORE,GRADINITA CU PROGRAM NORMAL NR 2,ARBORE,,0,,
123,3761104846,,728456,167222,162103,3761104846,VASLUI,,,,"ȘCOALA GIMNAZIALĂ NR. 1, SAT IBĂNEȘTI",SCOALA GENERALA NR 1,IBĂNEŞTI,,0,,
,0562102217,0561108327,364286,31654,31707,0562102217,BIHOR,,,75,ȘCOALA PRIMARĂ NR.1 POIANA,SCOALA PRIMARA NR 1,POIANA,,0,,
,0462100456,0461108075,,20563,20572,0462100456,BACĂU,,,,GRADINITA CU PROGRAM PRELUNGIT NR 8 ONESTI,GRADINITA CU PROGRAM PRELUNGIT NR 8,ONEŞTI,,0,CAUCIUCULUI NR 1,
,0562107335,0561101261,1193749,31716,31770,0562107335,BIHOR,,,165,GRĂDINIŢA CU PROGRAM NORMAL NR. 4 UILEACU DE CRIŞ,GRADINITA CU PROGRAM NORMAL NR 4,UILEACU DE CRIŞ,,0,PRINCIPALA,
,0462102295,0461105054,,22380,22415,0462102295,BACĂU,,,,GRADINITA CU PROGRAM NORMAL CUCUIETI,GRADINITA CU PROGRAM NORMAL,CUCUIEŢI,,0,,
29112061,1761100802,,492655,75098,75105,1761100802,GALAŢI,45.4351222273816,28.0484006195656,12,"GRADINITA CU PROGRAM NORMAL ""IOAN NENITESCU"", LOCALITATEA GALATI",GRADINITA CU PROGRAM NORMAL IOAN NENITESCU,GALAŢI,,1,ION NENITESCU,
,0162102146,0161102508,,1017,1026,0162102146,ALBA,,,27,GRADINITA CU PROGRAM PRELUNGIT NR. 2 ALBA IULIA,GRADINITA CU PROGRAM PRELUNGIT NR 2,ALBA IULIA,,0,TRAIAN,
,0462102743,0461108378,,22898,22914,0462102743,BACĂU,,,,GRADINITA CU PROGRAM NORMAL BRATILA,GRADINITA CU PROGRAM NORMAL,BRĂTILA,,0,,
5054842,4081103492,,1146576,179132,179150,4081103492,MUNICIPIUL BUCUREŞTI,,,07.sep,Clubul Sportiv Școlar ”Dinamo”,CLUBUL SPORTIV SCOLAR DINAMO,BUCUREŞTI SECTORUL 2,,0,Ştefan cel Mare,
18004692,1261100036,,120439603,58311,58320,1261100036,CLUJ,,,124,"ȘCOALA GIMNAZIALĂ LUNA, COM. LUNA",SCOALA GENERALA,LUNA,,0,,
29323450,1361100093,,130451730,60419,60428,1361100093,CONSTANŢA,44.18982155,28.6384791650064,13,ȘCOALA GIMNAZIALĂ NR. 30 ’GHEORGHE ŢIŢEICA’ CONSTANŢA,SCOALA GENERALA NR 30 GHEORGHE TITEICA,CONSTANŢA,135671585,0,Flămânda,
,1362103847,1361100107,,61737,61773,1362103847,CONSTANŢA,,,,GRĂDINIŢA CU PROGRAM NORMAL LESPEZI,GRADINITA CU PROGRAM NORMAL,LESPEZI,,0,,
31478537,1261202167,,124530326,54975,54984,1261202167,CLUJ,,,3,"ȘCOALA GIMNAZIALĂ ""CHRISTIANA"" CLUJ-NAPOCA",SCOALA GENERALA CHRISTIANA,CLUJ-NAPOCA,,0,Moldoveanu,
,3362106646,3361102633,,149584,149593,3362106646,SUCEAVA,,,,GRADINITA CU PROGRAM NORMAL BAINET,GRADINITA CU PROGRAM NORMAL,BAINEŢ,,0,,
5120750,1261103993,,121315531,54975,54984,1261103993,CLUJ,46.7673208,23.597823962049,2,"LICEUL DE COREGRAFIE ȘI ARTĂ DRAMATICĂ ""OCTAVIAN STROIA"" CLUJ-NAPOCA",LICEUL DE COREGRAFIE SI ARTA DRAMATICA OCTAVIAN STROIA,CLUJ-NAPOCA,237518108,0,Turzii,
4244717,3361102678,,691940,146628,146637,3361102678,SUCEAVA,47.8428104319442,25.9125146820871,18,"SCOALA GIMNAZIALA ""REGINA ELISABETA"" RADAUTI",SCOALA GENERALA REGINA ELISABETA,RĂDĂUŢI,,1,STEFAN CEL MARE,
,1062103381,1061104206,,48227,48236,1062103381,BUZĂU,,,,GRĂDINIŢA CU PROGRAM NORMAL COMUNA PĂNĂTĂU,GRADINITA CU PROGRAM NORMAL,PĂNĂTĂU,,0,,
,1662101049,1661101913,,73736,73763,1662101049,DOLJ,43.9218187148334,23.0574966389358,,SCOALA GIMNAZIALA TUNARII VECHI,SCOALA GENERALA,TUNARII VECHI,,1,,
4253715,3461101029,,1182659,151683,151692,3461101029,TELEORMAN,43.7562643899185,24.8708861186483,2,"COLEGIUL TEHNIC ""G-RAL D. PRAPORGESCU"" TURNU MĂGURELE",COLEGIUL TEHNIC G RAL D PRAPORGESCU,TURNU MĂGURELE,,1,TABEREI,
,0762102259,0761105131,,35731,35740,0762102259,BOTOŞANI,,,26,GRADINITA CU PROGRAM NORMAL NR 1 BOTOSANI,GRADINITA CU PROGRAM NORMAL NR 1,BOTOŞANI,,0,ION PILLAT,
29126164,3561101466,,1260968,155243,155252,3561101466,TIMIŞ,45.7363498501783,21.2024663032641,10A,LICEUL TEOLOGIC PENTICOSTAL LOGOS MUN.TIMISOARA,LICEUL TEOLOGIC PENTICOSTAL LOGOS,TIMIŞOARA,,1,Str. Transilvania,
,2662103098,2661105304,,118575,118628,2662103098,MUREŞ,46.4717464929223,24.305852820383,88,GRĂDINIȚA CU PROGRAM NORMAL VAIDEIU,GRADINITA CU PROGRAM NORMAL,VAIDEIU,,1,PRINCIPALA,
,0662102957,0661103601,371722,32483,32492,0662102957,BISTRIŢA-NĂSĂUD,,,6,"GRĂDINIȚA CU PROGRAM NORMAL ""1 IUNIE"" BECLEAN",GRADINITA CU PROGRAM NORMAL 1 IUNIE,BECLEAN,,0,Șieului,
27981947,4061102386,,766513,179132,179150,4061102386,MUNICIPIUL BUCUREŞTI,44.4659373,26.13383,5,Grădiniţa nr. 137,GRADINITA NR 137,BUCUREŞTI SECTORUL 2,2839280135,0,Plumbuita,
,2362100959,2361101978,,100969,100987,2362100959,ILFOV,,,20,GRĂDINIȚA NR. 3 DUMBRAVENI,GRADINITA NR 3,DUMBRĂVENI,,0,LAHOVARI,
14374579,2961102708,,640317,130534,130543,2961102708,PRAHOVA,,,46,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 23, MUNICIPIUL PLOIEȘTI",GRADINITA CU PROGRAM PRELUNGIT NR 23,PLOIEŞTI,,0,RÂȘNOVENILOR,
,0462100673,0461105045,,24187,24196,0462100673,BACĂU,,,,GRADINITA CU PROGRAM NORMAL NR 2 PINCESTI,GRADINITA CU PROGRAM NORMAL NR 2 PINCESTI,PÂNCEŞTI,,0,,
,2962106029,2961100181,642846,135020,135075,2962106029,PRAHOVA,,,85,"GRĂDINIȚA CU PROGRAM NORMAL, SAT GOGA, COMUNA RÎFOV",GRADINITA CU PROGRAM NORMAL COMUNA RIFOV,GOGA,,0,PRINCIPALA,
,3562102598,3561102119,,156623,156632,3562102598,TIMIŞ,45.5836783307135,21.7289634444992,,SCOALA PRIMARA SACOSU MARE COM.DAROVA,SCOALA PRIMARA SACOSU MARE,DAROVA,,1,,
4523193,0861100545,,1180883,40465,40474,0861100545,BRAŞOV,45.7286337258579,24.7047301099992,2,Colegiul Tehnic 'Alexandru Bărbat' Victoria,COLEGIUL TEHNIC ALEXANDRU BARBAT,VICTORIA,,0,SALCAMILOR,
14839496,5161103374,,568612,100610,100629,5161103374,CĂLĂRAŞI,44.0908872367487,26.63794157406,,"SCOALA GIMNAZIALA ""PROF. LUCIAN PAVEL"" OLTENITA",SCOALA GENERALA PROF LUCIAN PAVEL,OLTENIŢA,,1,"CUZA VODA, NR. 36",
,0462102128,0461107703,,25148,25219,0462102128,BACĂU,,,,SCOALA GIMNAZIALA NR 1 VERSESTI,SCOALA GENERALA NR 1,VERŞEŞTI,,0,,
,2462103594,2461100935,,106318,106327,2462103594,MARAMUREŞ,47.6534061671444,23.5596343859488,2B,GRADINITA CU PROGRAM NORMAL NR.2 BAIA MARE,GRADINITA CU PROGRAM NORMAL NR 2,BAIA MARE,,1,Oituz,
,3562104564,3561101751,,155591,155608,3562104564,TIMIŞ,45.4144855130824,21.1423991294775,,GRADINITA CU PROGRAM NORMAL COM.BANLOC,GRADINITA CU PROGRAM NORMAL,BANLOC,,1,,
7685840,2261105518,,3011763,95471,95480,2261105518,IAŞI,,,65A,"LICEUL TEHNOLOGIC ""PETRU RAREȘ"", TÂRGU FRUMOS",LICEUL TEHNOLOGIC PETRU RARES,TÂRGU FRUMOS,,0,CUZA VODA,
2614287,2781101747,,1324037,121055,121064,2781101747,NEAMŢ,,,88,"CLUBUL SPORTIV ȘCOLAR, ORAȘ TÂRGU NEAMȚ",CLUBUL SPORTIV SCOLAR,TÂRGU NEAMŢ,,0,ȘTEFAN CEL MARE,
,3762102473,3761104222,,161856,161918,3762102473,VASLUI,46.8076110827664,27.4800729358517,,"ȘCOALA PRIMARĂ, SAT POIANA",SCOALA PRIMARA,POIANA,,1,,
29015905,0261104332,,318316,11539,11548,0261104332,ARAD,,,711,SCOALA GIMNAZIALA PAULIS,SCOALA GENERALA,PĂULIŞ,,0,,
,2962105227,2961100109,640020,136134,136161,2962105227,PRAHOVA,45.1800070025073,25.9651913232314,52A,"ȘCOALA PRIMARĂ, SAT LIVADEA, COMUNA VĂRBILĂU",SCOALA PRIMARA COMUNA VARBILAU,LIVADEA,,0,LIVADEA,
,3762105318,3761104448,,163903,163921,3762105318,VASLUI,,,,"ȘCOALA GIMNAZIALĂ ""MIHAI BOTEZ"", SAT GIURCANI",SCOALA GENERALA MIHAI BOTEZ,GIURCANI,,0,,
,0162101828,0161103423,,1874,1918,0162101828,ALBA,,,,GRADINITA CU PROGRAM NORMAL RAHAU,GRADINITA CU PROGRAM NORMAL,RĂHĂU,,0,PRINCIPALA,
,0662101757,0661101504,373433,34770,34789,0662101757,BISTRIŢA-NĂSĂUD,,,192,GRĂDINIȚA CU PROGRAM NORMAL ȘIEU-ODORHEI,GRADINITA CU PROGRAM NORMAL,ŞIEU-ODORHEI,,0,Principală,
4368081,1961100066,,520842,85243,85252,1961100066,HARGHITA,,,223,"ȘCOALA GIMNAZIALĂ ""KELEMEN IMRE"" OCLAND",SCOALA GENERALA KELEMEN IMRE,OCLAND,,0,PRINCIPALĂ,
