COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,osm,safe,str,wikidata
29033030,0261100649,,320503,12402,12411,0261100649,ARAD,,,116,"SCOALA PRIMARA ""SEVER BOCU"" SISTAROVAT",SCOALA PRIMARA SEVER BOCU,ŞIŞTAROVĂŢ,,0,Principala,
,0462103771,0461107359,,25521,25530,0462103771,BACĂU,,,,GRADINITA CU PROGRAM NORMAL STANISESTI,GRADINITA CU PROGRAM NORMAL,STĂNIŞEŞTI,,0,,
,5162101666,5161101119,,92569,92578,5162101666,CĂLĂRAŞI,,,,SCOALA GIMNAZIALA NR.7 CALARASI,SCOALA GENERALA NR 7,CĂLĂRAŞI,,0,,
,0862103073,0861100848,,40544,40562,0862103073,BRAŞOV,,,258,Școala Primară Boholț,SCOALA PRIMARA,BOHOLŢ,,0,,
,2962105964,2961100127,2903907,133795,133811,2962105964,PRAHOVA,,,40A,"ȘCOALA PRIMARĂ, SAT CERNEȘTI, COMUNA IZVOARELE",SCOALA PRIMARA COMUNA IZVOARELE,CERNEŞTI,,0,CERNEȘTI,
,2262103403,2261105441,545983,95060,95079,2262103403,IAŞI,47.1592459173647,27.6217113235551,,"ȘCOALA PRIMARĂ ""COSTACHE CONACHI"", IAŞI",SCOALA PRIMARA COSTACHE CONACHI,IAŞI,,1,,
,0562107294,0561100165,1192460,29341,29350,0562107294,BIHOR,,,169,GRĂDINIŢA CU PROGRAM NORMAL NR.1 DRĂGEŞTI,GRADINITA CU PROGRAM NORMAL NR 1,DRĂGEŞTI,,0,Principala,
13332451,1961104414,,520141,83133,83142,1961104414,HARGHITA,46.3063171,25.3047343897687,35,"ȘCOALA GIMNAZIALĂ ""ORBÁN BALAZS"" ODORHEIU SECUIESC",SCOALA GENERALA ORBAN BALAZS,ODORHEIU SECUIESC,6698206,0,INDEPENDENTEI,
,3262100637,3261101769,320675532,145827,145836,3262100637,SIBIU,45.6681305521194,24.2659206344385,,SCOALA GIMNAZIALA TALMACIU,SCOALA GENERALA,TĂLMACIU,,1,N.BALCESCU NR 6,
18117950,2761101823,,623319,124849,124858,2761101823,NEAMŢ,47.1664658762609,26.531308718649,65,"ȘCOALA GIMNAZIALĂ, COMUNA URECHENI",SCOALA GENERALA,URECHENI,,1,PRINCIPALĂ,
352542973,3561206641,,352542973,155243,155252,3561206641,TIMIŞ,,,29,"GRADINITA CU PROGRAM PRELUNGIT ""PLANETA PITICILOR"" TIMISOARA",GRADINITA CU PROGRAM PRELUNGIT PLANETA PITICILOR,TIMIŞOARA,,0,TEBEA,
,0262102954,0261101302,,10006,10015,0262102954,ARAD,,,,GRADINITA PN BIRCHIS,GRADINITA PN,BIRCHIŞ,,0,,
17800890,1661206183,,9999778,74859,71901,1661206183,DOLJ,,,13,"GRADINITA CU PROGRAM PRELUNGIT ""RAYKIDS"" CARCEA",GRADINITA CU PROGRAM PRELUNGIT RAYKIDS,CÂRCEA,,0,Sublocotenent Ilie Preda,
,4082106925,4061102766,,179132,179141,4082106925,MUNICIPIUL BUCUREŞTI,,,1,"CSS - Colegiul Naţional ""Aurel Vlaicu""",CSS COLEGIUL NATIONAL AUREL VLAICU,BUCUREŞTI SECTORUL 1,,0,"Roth Stephan Ludwig, ist.",
,1962101646,1961104857,,83320,83357,1962101646,HARGHITA,,,127,ȘCOALA PRIMARĂ HARGHITA-BĂI,SCOALA PRIMARA,HARGHITA-BĂI,,0,HARGHITA-BĂI,
,3062100269,3061101917,,138208,138271,3062100269,SATU MARE,,,,ȘCOALA PRIMARĂ SÂNMICLĂUȘ,SCOALA PRIMARA,SÂNMICLĂUŞ,,0,PRINCIPALA,
,2262101523,2261104811,549068,96940,96977,2262101523,IAŞI,47.1635338892454,27.3032735834135,,"GRĂDINIȚA CU PROGRAM NORMAL, CHILIȘOAIA",GRADINITA CU PROGRAM NORMAL,CHILIŞOAIA,,1,,
,1862103767,1861104682,,81576,81585,1862103767,GORJ,45.1195381763808,23.1441468655492,,SCOALA GIMNAZIALA RUNCU,SCOALA GENERALA,RUNCU,,1,,
,1062103535,1061106488,,50022,50031,1062103535,BUZĂU,,,,GRĂDINIŢA CU PROGRAM NORMAL NR.2 COMUNA VALEA RÂMNICULUI,GRADINITA CU PROGRAM NORMAL NR 2,VALEA RÂMNICULUI,,0,,
,2962101399,2961101838,642200,133330,133385,2962101399,PRAHOVA,,,404,"GRĂDINIȚA CU PROGRAM NORMAL, SAT NOVĂCEȘTI, COMUNA FLOREȘTI",GRADINITA CU PROGRAM NORMAL COMUNA FLORESTI,NOVĂCEŞTI,,0,PRINCIPALĂ,
,0752101072,0771105014,,35946,35955,0752101072,BOTOŞANI,,,3,CLUBUL COPIILOR DARABANI,CLUBUL COPIILOR,DARABANI,,0,LUCIAN VALEA,
,1462101884,1461100096,461527,64639,64693,1462101884,COVASNA,,,46,"Școala Primară ""Fodor János"" Măgheruș",SCOALA PRIMARA FODOR JANOS,MĂGHERUŞ,,0,Principală,
,2962101069,2961100204,643072,135725,135734,2962101069,PRAHOVA,,,160,"GRĂDINIȚA CU PROGRAM NORMAL, COMUNA TEIȘANI",GRADINITA CU PROGRAM NORMAL,TEIŞANI,,0,PRINCIPALĂ,
,1062102959,1061106194,,50228,50308,1062102959,BUZĂU,,,,ŞCOALA PRIMARĂ SAT SÂRBEŞTI COMUNA VINTILĂ VODĂ,SCOALA PRIMARA COMUNA VINTILA VODA,SÂRBEŞTI,,0,,
,5162103234,5161100561,,105829,105838,5162103234,CĂLĂRAŞI,,,,SCOALA PRIMARA NR.2 PROZANIC,SCOALA PRIMARA NR 2 PROZANIC,VASILAŢI,,0,,
,0562103973,0561101017,359920,26975,26984,0562103973,BIHOR,,,109/113,GRĂDINIȚA CU PROGRAM PRELUNGIT ”URSULEȚ” SALONTA,GRADINITA CU PROGRAM PRELUNGIT URSULET,SALONTA,,0,Republicii,
,2362101155,2361101716,,179533,179542,2362101155,ILFOV,44.3890474020647,26.202902052877,8,GRĂDINIȚA NR. 3 POPEŞTI LEORDENI,GRADINITA NR 3,POPEŞTI LEORDENI,,1,CONSTANTIN VACARESCU,
,2862104069,2861104467,,128436,128445,2862104069,OLT,,,,GRADINITA CU PROGRAM NORMAL NR.2 PRISEACA,GRADINITA CU PROGRAM NORMAL NR 2,PRISEACA,,0,,
,1962102882,1961103951,,85528,85537,1962102882,HARGHITA,,,591,GRĂDINIȚA SĂRMAŞ,GRADINITA,SĂRMAŞ,,0,PRINCIPALĂ,
,5162101508,5161101024,,94125,94134,5162101508,CĂLĂRAŞI,,,,GRADINITA PROGRAM NORMAL NR.1 NICOLAE BALCESCU,GRADINITA CU PROGRAMRAM NORMAL NR 1,NICOLAE BĂLCESCU,,0,,
,0862103313,0861100631,,40492,40508,0862103313,BRAŞOV,,,,Grădinița cu Program Normal Nr. 5 Zărnești,GRADINITA CU PROGRAM NORMAL NR 5,ZĂRNEŞTI,,0,,
,0362105874,0361103845,,15741,15796,0362105874,ARGEŞ,45.2553000452493,24.6509481347279,,ŞCOALA GIMNAZIALĂ PROF.DR. VASILE VASILESCU,SCOALA GENERALA PROF DR VASILE VASILESCU,CORBENI,,1,,
,2062102206,2061103279,,90342,90422,2062102206,HUNEDOARA,45.7190071046058,23.1712239486568,,ȘCOALA PRIMARĂ OCOLIȘU MIC,SCOALA PRIMARA,OCOLIŞU MIC,,1,,
,0162101145,0161100126,,1213,1222,0162101145,ALBA,,,20,GRADINITA CU PROGRAM NORMAL NR. 7 AIUD,GRADINITA CU PROGRAM NORMAL NR 7,AIUD,,0,GHEORGHE LAZAR,
,0162104383,0161102734,,8354,8363,0162104383,ALBA,,,,GRADINITA CU PROGRAM NORMAL VALEA LUNGA,GRADINITA CU PROGRAM NORMAL,VALEA LUNGĂ,,0,,
4323438,2661108429,,1182154,114319,114328,2661108429,MUREŞ,,,15,"LICEUL TEORETIC ""GHEORGHE MARINESCU"" TÎRGU MUREȘ",LICEUL TEORETIC GHEORGHE MARINESCU,TÎRGU MUREŞ,,0,GHEORGHE MARINESCU,
,3562104175,3561106512,,157031,157059,3562104175,TIMIŞ,,,,GRADINITA CU PROGRAM NORMAL JENA COM.GAVOJDIA,GRADINITA CU PROGRAM NORMAL COM GAVOJDIA,JENA,,0,,
4316635,4051100438,,0765753,179132,179178,4051100438,MUNICIPIUL BUCUREŞTI,,,12,Clubul Copiilor Sector 4,CLUBUL COPIILOR SECTOR 4,BUCUREŞTI SECTORUL 4,,0,Fagetului,
,0762100447,0761100094,,36499,36505,0762100447,BOTOŞANI,,,,GRADINITA CU PROGRAM NORMAL NR 1 CALARASI,GRADINITA CU PROGRAM NORMAL NR 1,CĂLĂRAŞI,,0,CALARASI,
,2562100305,2561101645,590366,112548,112575,2562100305,MEHEDINŢI,44.402743725946,22.7110649673474,,ŞCOALA GIMNAZIALĂ DĂNCEU,SCOALA GENERALA,DĂNCEU,,1,,
25306219,2861101333,,982507,127563,127590,2861101333,OLT,44.3943255588823,24.3885226270013,,SCOALA GIMNAZIALA MILCOVU DIN DEAL,SCOALA GENERALA,MILCOVU DIN DEAL,,1,,
28052565,1361100939,,130453740,62823,62832,1361100939,CONSTANŢA,44.7189158355937,28.157259914572,2,ŞCOALA GIMNAZIALĂ ’NICOLAE MARALOI’ SARAIU,SCOALA GENERALA NICOLAE MARALOI,SARAIU,,1,NICOLAE MARALOI,
,1162103054,1161104272,422765,50790,50807,1162103054,CARAŞ-SEVERIN,,,,ŞCOALA PRIMARĂ MOCIUR,SCOALA PRIMARA MOCIUR,REŞIŢA,,0,,
,1362102715,1361101058,,62253,62271,1362102715,CONSTANŢA,,,,GRĂDINIŢA CU PROGRAM NORMAL SINOIE,GRADINITA CU PROGRAM NORMAL,SINOIE,,0,,
33560527,2161100935,,210541547,92701,92710,2161100935,IALOMIŢA,44.4090362300959,27.8248848684772,1,GRĂDINIŢA CU PROGRAM PRELUNGIT FETEŞTI,GRADINITA CU PROGRAM PRELUNGIT,FETEŞTI,,1,CĂMINULUI,
,1862104429,1861105891,,78329,78338,1862104429,GORJ,,,,"GRADINITA CU PROGRAM PRELUNGIT ""TUDOR ARGHEZI"" TG CARBUNESTI",GRADINITA CU PROGRAM PRELUNGIT TUDOR ARGHEZI TG CARBUNESTI,TÂRGU CĂRBUNEŞTI,,0,,
,1062101976,1061104839,,50415,50451,1062101976,BUZĂU,,,,ŞCOALA GIMNAZIALĂ SAT VADU SOREŞTI COMUNA ZĂRNEŞTI,SCOALA GENERALA COMUNA ZARNESTI,VADU SOREŞTI,,0,,
4847521,1261103274,,120438099,54975,54984,1261103274,CLUJ,46.7760485508813,23.606475407674,128-130,"COLEGIUL TEHNIC ""ANGHEL SALIGNY"" CLUJ-NAPOCA",COLEGIUL TEHNIC ANGHEL SALIGNY,CLUJ-NAPOCA,,1,21.dec.89,
28806383,1061104468,,414988,49484,49527,1061104468,BUZĂU,45.4786706354088,26.2592945620469,,ŞCOALA GIMNAZIALĂ COMUNA SIRIU,SCOALA GENERALA COMUNA SIRIU,GURA SIRIULUI,,1,,
,0762102449,0761100153,,38633,38660,0762102449,BOTOŞANI,,,,SCOALA PRIMARA NR. 3 REDIU RADAUTI-PRUT,SCOALA PRIMARA NR 3 RADAUTI PRUT,REDIU,,0,,
,1862106684,1861105801,,77812,77821,1862106684,GORJ,,,23,GRADINITA CU PROGRAM PRELUNGIT NR 10 TG JIU,GRADINITA CU PROGRAM PRELUNGIT NR 10 TG JIU,TÂRGU JIU,,0,A.I. CUZA,
,3562105805,3561101638,,158528,158537,3562105805,TIMIŞ,,,,GRADINITA CU PROGRAM NORMAL COM.SATCHINEZ,GRADINITA CU PROGRAM NORMAL,SATCHINEZ,,0,,
,3362102081,3361103765,,148765,148818,3362102081,SUCEAVA,,,,GRADINITA CU PROGRAM NORMAL COLACU,GRADINITA CU PROGRAM NORMAL,COLACU,,0,,
,3762107026,3761104136,,164133,164188,3762107026,VASLUI,46.1608665029314,27.6613620464943,,"GRĂDINIȚA CU PROGRAM NORMAL, SAT TRESTIANA",GRADINITA CU PROGRAM NORMAL,TRESTIANA,,1,,
24024783,0361206475,,,17496,17539,0361206475,ARGEŞ,,,665,Grădiniţa ALTINA,GRADINITA ALTINA,DEALU VIILOR,,0,SAT SMEURA,
29032655,2661105177,,601995,114603,114612,2661105177,MUREŞ,46.2401353011496,24.8525278916727,119,ȘCOALA GIMNAZIALĂ ALBEȘTI,SCOALA GENERALA,ALBEŞTI,,1,LUNGĂ,
,3962103227,3961101035,,177842,177851,3962103227,VRANCEA,,,87,SCOALA GIMNAZIALA DIMACI,SCOALA GENERALA DIMACI,SURAIA,,0,Principala,
,1862105335,1861106318,503246,77812,77821,1862105335,GORJ,,,,GRADINITA CU PROGRAM NORMAL NR 13 TG JIU,GRADINITA CU PROGRAM NORMAL NR 13 TG JIU,TÂRGU JIU,,0,,
2613290,2761102842,,612968,120726,120735,2761102842,NEAMŢ,46.9339888783406,26.3656503603353,19,"COLEGIUL NAȚIONAL ""CALISTRAT HOGAȘ"", MUNICIPIUL PIATRA-NEAMȚ",COLEGIUL NATIONAL CALISTRAT HOGAS,PIATRA-NEAMŢ,,1,ALEXANDRU CEL BUN,
24157259,5161103519,,1155814,92587,92596,5161103519,CĂLĂRAŞI,,,2,SCOALA GIMNAZIALA NR.2 MODELU,SCOALA GENERALA NR 2,MODELU,,0,AURORA,
30154311,3261203706,,322360131,143450,143469,3261203706,SIBIU,,,2,"GRADINITA CU PROGRAM PRELUNGIT ""DAISY & DONALD DUCK"" SIBIU",GRADINITA CU PROGRAM PRELUNGIT DAISY & DONALD DUCK,SIBIU,,0,PROF. PETRU SPAN,
,1362102923,1361101673,,63286,60749,1362102923,CONSTANŢA,,,1,GRĂDINIŢA CU PROGRAM NORMAL ’PINOCHIO’ COSTINEŞTI,GRADINITA CU PROGRAM NORMAL PINOCHIO,COSTINEŞTI,,0,GĂRII,
,0362105336,0361104846,,13819,13864,0362105336,ARGEŞ,,,,GRĂDINIŢA CU PROGRAM NORMAL DOBROTU,GRADINITA CU PROGRAM NORMAL,DOBROTU,,0,,
,3962101858,3961100708,,175732,175769,3962101858,VRANCEA,,,1,"SCOALA PRIMARA ""EPISCOP MITROFAN"" BONTESTI",SCOALA PRIMARA EPISCOP MITROFAN,BONŢEŞTI,,0,Principala,
,0462105764,0461107187,,25228,25273,0462105764,BACĂU,,,,SCOALA GIMNAZIALA SIRETU,SCOALA GENERALA,SIRETU,,0,,
,1462100933,1461100458,461113,64238,64256,1462100933,COVASNA,45.7578862371124,25.8294192290601,141,Școala Gimnazială Băcel,SCOALA GENERALA,BĂCEL,,1,Principală,
4382647,4061100841,,964646,179132,179178,4061100841,MUNICIPIUL BUCUREŞTI,44.3781188,26.11483,5,Grădinița nr. 149,GRADINITA NR 149,BUCUREŞTI SECTORUL 4,2586546879,0,Stupilor,
,3862104098,3861101005,746135,169039,169048,3862104098,VÂLCEA,,,,GRADINITA CU PROGRAM NORMAL,GRADINITA CU PROGRAM NORMAL,ARMĂŞEŞTI,,0,,
,3762102315,3761104665,,165719,165791,3762102315,VASLUI,,,,"GRĂDINIȚA CU PROGRAM NORMAL, SAT TATOMIREȘTI",GRADINITA CU PROGRAM NORMAL,TATOMIREŞTI,,0,,
,3762102645,3761104819,,165416,165452,3762102645,VASLUI,46.3128188562096,27.5726019585431,,"ȘCOALA GIMNAZIALĂ, SAT MĂSCUREI",SCOALA GENERALA,MĂSCUREI,,1,,
,0162101493,0161102883,,4767,4865,0162101493,ALBA,46.515627702309,22.9246453227437,569,SCOALA PRIMARA PATRUSESTI,SCOALA PRIMARA,PĂTRUŞEŞTI,,1,,
4376009,2661104886,,792366,117319,117328,2661104886,MUREŞ,,,4,COLEGIUL SILVIC GURGHIU,COLEGIUL SILVIC,GURGHIU,,0,REPUBLICII,
29386784,0361103732,,334273,17398,17405,0361103732,ARGEŞ,,,626,"ȘCOALA GIMNAZIALĂ ""PROF. EMIL NEGOIȚĂ"" MIROȘI",SCOALA GENERALA PROF EMIL NEGOITA,MIROŞI,,0,PRINCIPALĂ,
,1662102398,1661105329,,70673,70717,1662102398,DOLJ,,,,GRADINITA CU PROGRAM NORMAL ZVORSCA,GRADINITA CU PROGRAM NORMAL,ZVORSCA,,0,,
,1962103684,1961104007,1006520,83320,83339,1962103684,HARGHITA,,,62,"GRĂDINIŢA ""TULIPÁN"" MIERCUREA CIUC",GRADINITA TULIPAN,MIERCUREA CIUC,,0,LELICENI,
20745841,4061104058,,767098,179132,179141,4061104058,MUNICIPIUL BUCUREŞTI,44.4813086,26.0986356,27,"Şcoala Gimnazială ""Herăstrău""",SCOALA GENERALA HERASTRAU,BUCUREŞTI SECTORUL 1,458227057,0,Borşa,
,0762104139,0761104858,,36202,36275,0762104139,BOTOŞANI,,,,SCOALA PRIMARA NR.1 TIMUS,SCOALA PRIMARA NR 1,TIMUŞ,,0,TIMUS,
,0762100334,0761104772,,38063,38152,0762100334,BOTOŞANI,,,,GRADINITA CU PROGRAM NORMAL NR 2 STINCESTI,GRADINITA CU PROGRAM NORMAL NR 2 STINCESTI,STÂNCEŞTI,,0,STINCESTI,
11708445,1531100084,,1033365,65342,65351,1531100084,DÂMBOVIŢA,,,127,CASA CORPULUI DIDACTIC TÂRGOVIȘTE,CASA CORPULUI DIDACTIC,TÂRGOVIŞTE,,0,Domnească,
,3062100848,3061102529,,136848,136875,3062100848,SATU MARE,,,34,GRĂDINIȚA CU PROGRAM NORMAL BABA NOVAC,GRADINITA CU PROGRAM NORMAL,BABA NOVAC,,0,PRINCIPALĂ,
,3862102191,3861100515,,167473,167598,3862102191,VÂLCEA,45.1075973,24.3881337,,SCOALA GIMNAZIALA GORANU,SCOALA GENERALA,GORANU,4705401190,1,,
,3362106361,3361103937,,149682,149717,3362106361,SUCEAVA,,,,SCOALA PRIMARA COVERCA,SCOALA PRIMARA,COVERCA,,0,,
29371643,2641104745,,266393198,114319,114328,2641104745,MUREŞ,46.55204125,24.5707751448148,11,CENTRUL JUDETEAN DE RESURSE ȘI ASISTENȚĂ EDUCAȚIONALĂ MUREȘ,CENTRUL JUDETEAN DE RESURSE SI ASISTENTA EDUCATIONALA MURES,TÎRGU MUREŞ,23687678,0,DR.VICTOR BABES,
15094178,3861105018,,1153672,167473,167482,3861105018,VÂLCEA,45.0260312827273,24.2788769261299,,SCOALA GIMNAZIALA COLONIE RM. VALCEA,SCOALA GENERALA COLONIE RM VALCEA,RÂMNICU VÂLCEA,,1,,
32368575,4061101661,,767787,179132,179178,4061101661,MUNICIPIUL BUCUREŞTI,,,1,"Şcoala Gimnazială ""Emil Racoviţă""",SCOALA GENERALA EMIL RACOVITA,BUCUREŞTI SECTORUL 4,,0,Racoviţă Emil,
,1862103306,1861106078,,79237,79273,1862103306,GORJ,,,,"GRADINITA CU PROGRAM NORMAL CAPU DEALULUI NR.1, BRANESTI",GRADINITA CU PROGRAM NORMAL NR 1 BRANESTI,CAPU DEALULUI,,0,,
32216429,2261105708,,222054299,95060,95079,2261105708,IAŞI,,,9,"GRĂDINIȚA CU PROGRAM PRELUNGIT ""SF. SAVA"", IAŞI",GRADINITA CU PROGRAM PRELUNGIT SF SAVA,IAŞI,,0,Str. Sf. Sava,
4566550,3161101029,,664375,139704,139713,3161101029,SĂLAJ,47.1804367805553,23.0551456250375,3,"ȘCOALA GIMNAZIALĂ ""SIMION BĂRNUȚIU"" ZALĂU",SCOALA GENERALA SIMION BARNUTIU,ZALĂU,,1,Mihai Viteazul,
,0562106786,0561108241,1192355,29154,29181,0562106786,BIHOR,,,160A,GRĂDINIȚA CU PROGRAM NORMAL NR.6 CRÎNCEȘTI,GRADINITA CU PROGRAM NORMAL NR 6 CRINCESTI,CRÂNCEŞTI,,0,Principala,
4299704,1061104798,,413219,44818,44827,1061104798,BUZĂU,45.1468919350938,26.8092291460936,,"ŞCOALA GIMNAZIALĂ ""GEORGE EMIL PALADE"" MUNICIPIUL BUZĂU",SCOALA GENERALA GEORGE EMIL PALADE,BUZĂU,,0,SPIRU HARET NR. 8,
,1762100381,1761104575,,76175,76237,1762100381,GALAŢI,,,,"GRADINITA CU PROGRAM NORMAL NR.1, SAT NICOPOLE, COMUNA DRAGUSENI",GRADINITA CU PROGRAM NORMAL NR 1 COMUNA DRAGUSENI,NICOPOLE,,0,,
31781106,1661205182,,9832016,69900,69919,1661205182,DOLJ,,,2,"SCOALA POSTLICEALA TEOLOGICO-SANITARA ""SFANTUL IOSIF"" CRAIOVA",SCOALA POSTLICEALA TEOLOGICO SANITARA SFANTUL IOSIF,CRAIOVA,,0,UNIRII,
13613848,2361101915,,400563600,101742,101751,2361101915,ILFOV,,,19,ȘCOALA GIMNAZIALA NR. 1 CERNICA,SCOALA GENERALA NR 1,CERNICA,,0,TRAIAN,
,0462106159,0461108315,,25932,26001,0462106159,BACĂU,,,,GRADINITA CU PROGRAM NORMAL VIFORENI,GRADINITA CU PROGRAM NORMAL,VIFORENI,,0,,
4971995,0361103913,,332771,15233,15288,0361103913,ARGEŞ,,,1,ȘCOALA GIMNAZIALĂ GRUIU-CĂTEASCA,SCOALA GENERALA CATEASCA,GRUIU,,0,PRINCIPALĂ,
,5262100442,5261101434,,103238,103274,5262100442,GIURGIU,44.2386483650388,25.8170211988353,,SCOALA PRIMARA NR.4 VALEA PLOPILOR,SCOALA PRIMARA NR 4,VALEA PLOPILOR,,1,,
33560624,2161100641,,210562022,180064,100898,2161100641,IALOMIŢA,44.7256775092717,26.596463902358,1148,ŞCOALA GIMNAZIALĂ BĂRBULEŞTI,SCOALA GENERALA,BĂRBULEŞTI,,1,ȘCOLII,
,2962103831,2961107265,640329,130534,130543,2962103831,PRAHOVA,,,12,"GRĂDINIȚA CU PROGRAM NORMAL NR. 24, MUNICIPIUL PLOIEȘTI",GRADINITA CU PROGRAM NORMAL NR 24,PLOIEŞTI,,0,Radu de la Afumaţi,
3372211,0761100031,,845620,35731,35740,0761100031,BOTOŞANI,,,34,"COLEGIUL ECONOMIC ""OCTAV ONICESCU"" BOTOSANI",COLEGIUL ECONOMIC OCTAV ONICESCU,BOTOŞANI,,0,BUCOVINA,
14061474,3351103882,,6949117,146502,146511,3351103882,SUCEAVA,47.534498601588,25.5617808204312,8,CLUBUL COPIILOR CAMPULUNG MOLDOVENESC,CLUBUL COPIILOR,CÂMPULUNG MOLDOVENESC,,1,I. HALAUCEANU,
,0662103076,0661101472,376253,35090,35143,0662103076,BISTRIŢA-NĂSĂUD,,,485B,SCOALA PRIMARĂ NR.2 TUREAC,SCOALA PRIMARA NR 2,TUREAC,,0,Principală,
,0462105497,0461107133,,22834,22843,0462105497,BACĂU,,,,GRADINITA CU PROGRAM NORMAL GLAVANESTI,GRADINITA CU PROGRAM NORMAL,GLĂVĂNEŞTI,,0,,
,1562104691,1561100999,,68789,68832,1562104691,DÂMBOVIŢA,,,1,ȘCOALA GIMNAZIALĂ MIRCEA VODĂ SĂLCIOARA,SCOALA GENERALA SALCIOARA,MIRCEA VODĂ,,0,PRINCIPALĂ,
,0262104807,0261101035,,9654,9663,0262104807,ARAD,46.3347381181718,21.6934410462003,,GRADINITA PN PANCOTA,GRADINITA PN,PÂNCOTA,,1,,
,2662102943,2661104624,,119974,119983,2662102943,MUREŞ,,,177,GRĂDINIȚA CU PROGRAM NORMAL VALEA LARGĂ,GRADINITA CU PROGRAM NORMAL,VALEA LARGĂ,,0,PRINCIPALA,
29006362,1161103696,,424921,52936,52936,1161103696,CARAŞ-SEVERIN,,,92,ŞCOALA GIMNAZIALĂ „GHEORGHE FRĂŢILĂ“ GLIMBOCA,SCOALA GENERALA GHEORGHE FRATILA,GLIMBOCA,,0,PRINCIPALA,
,2962105783,2961102468,639198,134942,134960,2962105783,PRAHOVA,,,333,"ȘCOALA PRIMARĂ, SAT MIROSLAVEȘTI, COMUNA PUCHENII MARI",SCOALA PRIMARA COMUNA PUCHENII MARI,MIROSLĂVEŞTI,,0,MIROSLĂVEȘTI,
18336462,2461101755,,581690,107314,107323,2461101755,MARAMUREŞ,47.8171251806658,24.053477358827,4,"SCOALA GIMNAZIALA ""MIRCEA VULCANESCU"" BARSANA",SCOALA GENERALA MIRCEA VULCANESCU,BÂRSANA,,1,PRINCIPALA,
,1662100898,1661104658,,72463,72481,1662100898,DOLJ,,,,GRADINITA CU PROGRAM NORMAL NEDEIA,GRADINITA CU PROGRAM NORMAL,NEDEIA,,0,,
,0462102924,0461104935,,26118,26163,0462102924,BACĂU,,,,GRADINITA CU PROGRAM NORMAL GHILAVESTI,GRADINITA CU PROGRAM NORMAL,GHILĂVEŞTI,,0,,
,1962103069,1961100116,,85760,85779,1962103069,HARGHITA,,,901,ȘCOALA PRIMARĂ CSERALJA SÂNDOMINIC,SCOALA PRIMARA CSERALJA,SÂNDOMINIC,,0,CSERALJA,
,3162103058,3161100114,,141232,141296,3162103058,SĂLAJ,,,68,ȘCOALA PRIMARĂ POPTELEAC,SCOALA PRIMARA,POPTELEAC,,0,Principală,
29170984,2961101716,,635855,130534,130543,2961101716,PRAHOVA,,,19,"ȘCOALA GIMNAZIALĂ ""SFÂNTA VINERI"", MUNICIPIUL PLOIEȘTI",SCOALA GENERALA SFANTA VINERI,PLOIEŞTI,,0,POȘTEI,
,1362102389,1361105288,,62707,62725,1362102389,CONSTANŢA,,,27,ŞCOALA PRIMARĂ NR. 2 IVRINEZU MARE,SCOALA PRIMARA NR 2,IVRINEZU MARE,,0,ŞCOLII,
,2262103588,2261105581,547759,96110,96138,2262103588,IAŞI,47.0974757046201,26.9307309461447,,"ȘCOALA PRIMARĂ, MICLĂUȘENI",SCOALA PRIMARA,MICLĂUŞENI,,1,,
,5262100591,5261100745,,105972,106005,5262100591,GIURGIU,44.5035202978635,25.5255603544671,,SCOALA PRIMARA NR.7 CUPELE,SCOALA PRIMARA NR 7,CUPELE,,1,,
18282664,2761101642,,622597,124563,124572,2761101642,NEAMŢ,,,1,"ȘCOALA GIMNAZIALĂ ""VASILE MITRU"", COMUNA TAȘCA",SCOALA GENERALA VASILE MITRU,TAŞCA,,0,ALEXANDRU CEL BUN,
,1562102938,1561100909,,66857,66937,1562102938,DÂMBOVIŢA,,,1,GRĂDINIȚA CU PROGRAM NORMAL NR.2 UNGURENI CORBII MARI,GRADINITA CU PROGRAM NORMAL NR 2 CORBII MARI,UNGURENI,,0,MONUMENTULUI,
32167270,4061101489,,768688,179132,179196,4061101489,MUNICIPIUL BUCUREŞTI,44.4217135,26.0422702830504,2,Şcoala Gimnazială nr. 197,SCOALA GENERALA NR 197,BUCUREŞTI SECTORUL 6,154739020,0,Obcina Mare,
,3762100607,3761104778,,166235,166299,3762100607,VASLUI,,,,"GRĂDINIȚA CU PROGRAM NORMAL, SAT PROTOPOPEȘTI",GRADINITA CU PROGRAM NORMAL,PROTOPOPEŞTI,,0,,
,2162100103,2161101452,,100923,100950,2162100103,IALOMIŢA,,,1,ŞCOALA PRIMARĂ HORIA-ŞC.GIM.AXINTELE,SCOALA PRIMARA SC GIM AXINTELE,HORIA,,0,SÎRBENI,
33561212,2161101511,,210562905,101056,101065,2161101511,IALOMIŢA,44.6367523464638,26.6497114473661,166,ŞCOALA GIMNAZIALĂ BĂRCĂNEŞTI,SCOALA GENERALA,BĂRCĂNEŞTI,,1,MIHAI VITEAZUL,
,1162104584,1161103737,422478,53755,53782,1162104584,CARAŞ-SEVERIN,45.5712274026437,22.1498013232971,,GRĂDINIŢA CU PROGRAM NORMAL TINCOVA,GRADINITA CU PROGRAM NORMAL,TINCOVA,,1,,
