lat,lon,altitude,geometry,,id,amenity,name,created_by,old_name,addr:housenumber,addr:street,int_name,ele,fixme,name:de,addr:city,addr:postcode,is_in:city,is_in:country,is_in:county,operator,phone,note,addr:housename,addr:postcode:source,wheelchair,is_in:country_code,local:picture,source:name,name:ro,addr:country,alt_name,website,name:en,source,building,toilets:wheelchair,description,name:hu,historic,addr:county,email,designation,name:,source:amenity,contact:phone,office,opening_hours,name:am,working
46.2036886,21.2826941,,Point,node/269253773,school,SCOALA GENERALA FRATII NEUMANN,JOSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.1529096,21.307635,,Point,node/270328143,school,GENERALA NR 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.924629,25.8493826,,Point,node/271135997,school,SCOALA GENERALA 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.4208153,26.614585,,Point,node/271285333,school,LICEUL ION BARBU,Potlatch 09c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.4339606,26.743789,,Point,node/271720895,school,SCOALA NR 150 SFANTUL ELEFTERIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.1261357,25.7347052,,Point,node/275139284,school,LICEUL NICOLAE GRIGORESCU,Potlatch 09c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.3331669,26.778532,,Point,node/275380718,school,SCOALA JILAVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.847012,25.8644077,,Point,node/275541683,school,SCOALA BORDENI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.3781103,25.9421204,,Point,node/275592220,school,,Potlatch 09c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.4014674,25.9069226,,Point,node/275644567,school,SCOALA MARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.4027368,25.9030087,,Point,node/275644592,school,SCOALA MICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.7508228,22.9092874,,Point,node/277762725,school,SCOALA GENERALA NR 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.704391,24.1107014,,Point,node/297889587,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.4335264,28.585203,,Point,node/298843856,school,SCOALA GENERALA NR 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.6127881,25.6688992,,Point,node/303080036,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.4579108,26.798257,,Point,node/303325511,school,COLEGIUL NATIONAL DE INFORMATICA TUDOR VIANU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.9010974,25.7756385,,Point,node/304602593,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.1673239,25.5428359,,Point,node/304665454,school,,Potlatch 010f,,,,,612000000,name is missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.8987617,25.5375789,,Point,node/308400093,school,SCOALA GENERALA,Potlatch 010f,,,,,,,Schule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.4567448,26.3364387,,Point,node/308738489,school,SCOALA GIMNAZIALA NR 1 BRANESTI,,,147,Strada Sublocotenent Petre Ionel,,,,,Branesti,77030,Branesti,România,Ilfov,"Ministerul Educatiei, Cercetarii Si Tineretului",+40 21 350 1331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.1089448,24.3420473,,Point,node/311022944,school,SCOALA GENERALA NR 5 GHEORGHE MAGHERU CARACAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
